Starting Experiment with Threshold 0.01
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0.0,108,582274,165
0000000002,0.00985432733504713,4668,582297,1560
0000000003,0.008298755186721992,482,582277,143
0000000004,0.005970149253731343,335,582276,137
0000000005,0.0,4,582274,4
0000000006,0.0,1,582274,2
0000000007,0.0,16,582274,137
0000000008,0.0051813471502590676,386,582289,135
0000000009,0.0,17,176176,16
0000000010,0.0,108,988026,156
0000000011,0.009586852316822643,4381,988048,1208
0000000012,0.008333333333333333,480,988027,170
0000000013,0.005988023952095809,334,988027,162
0000000014,0.0,4,988026,4
0000000015,0.0,114,988026,162
0000000016,0.0,1,988026,2
0000000017,0.0,16,988026,161
0000000018,0.0,40,988026,153
0000000019,0.0,9,988026,155
0000000020,0.00872093023255814,1376,988029,205
0000000021,0.0,29,988029,153
0000000022,0.009621692543188278,4573,541082,1465
0000000023,0.009974424552429667,7820,541102,6407
0000000024,0.009935831090871455,4831,541095,2513
0000000025,0.009530292716133424,2938,541096,485
0000000026,0.009971136184728419,3811,541094,842
0000000027,0.009987515605493134,801,541092,47
0000000028,0.009982348286566438,16429,541136,107949
0000000029,0.0,24,541136,38
0000000030,0.009987211497472748,16421,541128,89664
0000000031,0.0,24,541128,36
0000000032,0.009889145864901507,12539,598496,22499
0000000033,0.009373953799799129,2987,598490,547
0000000034,0.009890189804377864,13751,598503,39079
0000000035,0.009912804038549794,10895,598515,25953
0000000036,0.0,9,598515,38
0000000037,0.0,82,266307,71
0000000038,0.009576250897773522,4177,270441,116
0000000039,0.008298755186721992,482,282757,67
0000000040,0.006622516556291391,302,286886,70
0000000041,0.0,4,286886,34
0000000042,0.0,82,385185,79
0000000043,0.009576250897773522,4177,385223,119
0000000044,0.008298755186721992,482,385227,79
0000000045,0.006600660066006601,303,385267,77
0000000046,0.0,4,385264,31
0000000047,0.0,82,442619,106
0000000048,0.009576250897773522,4177,442656,165
0000000049,0.008298755186721992,482,450849,78
0000000050,0.006666666666666667,300,459073,104
0000000051,0.0,4,459073,28
0000000052,0.009174311926605505,218,573778,68
0000000053,0.0,1,573777,2
0000000054,0.0,16,573778,69
0000000055,0.0,83,1045008,215
0000000056,0.009576250897773522,4177,1045032,505
0000000057,0.008298755186721992,482,1045016,220
0000000058,0.006644518272425249,301,1045019,219
0000000059,0.0,4,1045018,11
0000000060,0.0,82,754051,124
0000000061,0.009576250897773522,4177,754089,128
0000000062,0.008298755186721992,482,762282,79
0000000063,0.006666666666666667,300,770505,124
0000000064,0.0,4,770505,31
0000000065,0.0,37,835991,68
0000000066,0.008727272727272728,1375,1032677,75
0000000067,0.008708272859216255,1378,1032677,71
0000000068,0.008733624454148471,1374,1032683,71
0000000069,0.008727272727272728,1375,1032686,74
0000000070,0.00872093023255814,1376,1032691,71
0000000071,0.00872093023255814,1376,1032697,72
0000000072,0.00873998543335761,1373,1032703,76
0000000073,0.008708272859216255,1378,1032706,72
0000000074,0.008733624454148471,1374,1032706,73
0000000075,0.00873998543335761,1373,1032709,71
0000000076,0.00872093023255814,1376,1032717,75
0000000077,0.008746355685131196,1372,1032715,72
0000000078,0.008727272727272728,1375,1032721,71
0000000079,0.008727272727272728,1375,1032778,70
0000000080,0.008733624454148471,1374,1032782,82
0000000081,0.008676789587852495,1383,1032794,124
0000000082,0.00873998543335761,1373,1032798,104
0000000083,0.00872093023255814,1376,1032800,123
0000000084,0.008708272859216255,1378,1032810,87
0000000085,0.00847457627118644,236,1032816,70
0000000086,0.008727272727272728,1375,1032682,164
0000000087,0.00872093023255814,1376,1032699,119
0000000088,0.008733624454148471,1374,1032696,101
0000000089,0.00872093023255814,1376,1032694,129
0000000090,0.008714596949891068,1377,1032700,88
0000000091,0.00872093023255814,1376,1032722,152
0000000092,0.008733624454148471,1374,1032718,105
0000000093,0.00872093023255814,1376,1032721,98
0000000094,0.009925558312655087,403,1032727,69
0000000095,0.008714596949891068,1377,1045013,76
0000000096,0.008727272727272728,1375,1045043,105
0000000097,0.00872093023255814,1376,1045044,102
0000000098,0.008714596949891068,1377,1045047,76
0000000099,0.008746355685131196,1372,1045045,80
0000000100,0.008708272859216255,1378,1045043,157
0000000101,0.008714596949891068,1377,1045045,90
0000000102,0.008727272727272728,1375,1045042,84
0000000103,0.008689355539464157,1381,1045046,116
0000000104,0.00872093023255814,1376,1045047,111
0000000105,0.008727272727272728,1375,1045043,84
0000000106,0.008708272859216255,1378,1045048,114
0000000107,0.00872093023255814,1376,1045045,101
0000000108,0.008708272859216255,1378,1045047,122
0000000109,0.008727272727272728,1375,1045043,85
0000000110,0.008727272727272728,1375,1045048,74
0000000111,0.008708272859216255,1378,1045047,147
0000000112,0.008714596949891068,1377,1045045,153
0000000113,0.00872093023255814,1376,1045043,100
0000000114,0.008733624454148471,1374,1045040,165
0000000115,0.008727272727272728,1375,1045041,79
0000000116,0.008708272859216255,1378,1045047,92
0000000117,0.00870195794053662,1379,1045049,70
0000000118,0.008714596949891068,1377,1045047,105
0000000119,0.00872093023255814,1376,1045047,150
0000000120,0.008714596949891068,1377,1045045,130
0000000121,0.00870195794053662,1379,1045047,85
0000000122,0.00873998543335761,1373,1045043,106
0000000123,0.008676789587852495,1383,1045053,118
0000000124,0.00870195794053662,1379,1045044,132
0000000125,0.00873998543335761,1373,1045039,88
0000000126,0.008664259927797834,1385,1045052,84
0000000127,0.008746355685131196,1372,1045040,109
0000000128,0.00870195794053662,1379,1045046,106
0000000129,0.008714596949891068,1377,1045043,99
0000000130,0.00873998543335761,1373,1045044,142
0000000131,0.008333333333333333,1200,1045043,79
0000000132,0.0091324200913242,219,1045037,76
0000000133,0.0,1,1045030,2
0000000134,0.0,16,1045030,79
0000000135,0.0,37,1045047,78
0000000136,0.009174311926605505,218,1045041,100
0000000137,0.0,1,1045040,3
0000000138,0.0,16,1045040,101
0000000139,0.0,37,1045047,80
0000000140,0.008727272727272728,1375,1045047,117
0000000141,0.008746355685131196,1372,1045114,87
0000000142,0.008733624454148471,1374,1045127,91
0000000143,0.00872093023255814,1376,1045135,96
0000000144,0.0087527352297593,1371,1045116,78
0000000145,0.008689355539464157,1381,1045120,99
0000000146,0.0091324200913242,219,1045035,218
0000000147,0.0,1,1045033,3
0000000148,0.0,16,1045033,224
0000000149,0.0,37,1045028,221
0000000150,0.0,71,1045105,240
0000000151,0.00975808091075422,4919,1045156,1841
