Starting Experiment with Threshold 0.01
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,0.0,108,582274,78
0000000002,19,0.00985432733504713,4668,582297,2940
0000000003,11,0.008298755186721992,482,582277,67
0000000004,4,0.005970149253731343,335,582276,70
0000000005,4,0.0,4,582274,4
0000000006,1,0.0,1,582274,2
0000000007,2,0.0,16,582274,18
0000000008,1,0.0051813471502590676,386,582289,12
0000000009,10,0.0,17,176176,4
0000000010,1,0.0,108,988026,18
0000000011,19,0.009586852316822643,4381,988048,1918
0000000012,8,0.008333333333333333,480,988027,40
0000000013,3,0.005988023952095809,334,988027,33
0000000014,4,0.0,4,988026,2
0000000015,1,0.0,114,988026,17
0000000016,1,0.0,1,988026,3
0000000017,3,0.0,16,988026,72
0000000018,1,0.0,40,988026,26
0000000019,147,0.0,9,988026,26
0000000020,9,0.00872093023255814,1376,988029,146
0000000021,3,0.0,29,988029,14
0000000022,23,0.009621692543188278,4573,541082,2332
0000000023,35,0.009974424552429667,7820,541102,7944
0000000024,38,0.009935831090871455,4831,541095,3104
0000000025,18,0.009530292716133424,2938,541096,549
0000000026,19,0.009971136184728419,3811,541094,953
0000000027,5,0.009987515605493134,801,541092,16
0000000028,111,0.009982348286566438,16429,541136,147335
0000000029,1,0.0,24,541136,7
0000000030,95,0.009987211497472748,16421,541128,114722
0000000031,3,0.0,24,541128,16
0000000032,42,0.009889145864901507,12539,598496,29698
0000000033,17,0.009373953799799129,2987,598490,597
0000000034,58,0.009890189804377864,13751,598503,50434
0000000035,60,0.009912804038549794,10895,598515,31860
0000000036,2,0.0,9,598515,10
0000000037,3,0.0,82,266307,6
0000000038,1,0.009576250897773522,4177,270441,79
0000000039,1,0.008298755186721992,482,282757,7
0000000040,1,0.006622516556291391,302,286886,7
0000000041,3,0.0,4,286886,4
0000000042,1,0.0,82,385185,8
0000000043,1,0.009576250897773522,4177,385223,180
0000000044,4,0.008298755186721992,482,385227,12
0000000045,3,0.006600660066006601,303,385267,7
0000000046,4,0.0,4,385264,4
0000000047,1,0.0,82,442619,8
0000000048,1,0.009576250897773522,4177,442656,74
0000000049,4,0.008298755186721992,482,450849,9
0000000050,6,0.006666666666666667,300,459073,11
0000000051,4,0.0,4,459073,4
0000000052,1,0.009174311926605505,218,573778,8
0000000053,1,0.0,1,573777,2
0000000054,1,0.0,16,573778,6
0000000055,1,0.0,83,1045008,18
0000000056,6,0.009576250897773522,4177,1045032,422
0000000057,1,0.008298755186721992,482,1045016,21
0000000058,1,0.006644518272425249,301,1045019,18
0000000059,2,0.0,4,1045018,3
0000000060,1,0.0,82,754051,11
0000000061,1,0.009576250897773522,4177,754089,68
0000000062,4,0.008298755186721992,482,762282,11
0000000063,2,0.006666666666666667,300,770505,10
0000000064,4,0.0,4,770505,4
0000000065,5,0.0,37,835991,6
0000000066,1,0.008727272727272728,1375,1032677,15
0000000067,1,0.008708272859216255,1378,1032677,13
0000000068,1,0.008733624454148471,1374,1032683,12
0000000069,1,0.008727272727272728,1375,1032686,14
0000000070,1,0.00872093023255814,1376,1032691,13
0000000071,1,0.00872093023255814,1376,1032697,13
0000000072,2,0.00873998543335761,1373,1032703,24
0000000073,1,0.008708272859216255,1378,1032706,12
0000000074,1,0.008733624454148471,1374,1032706,12
0000000075,1,0.00873998543335761,1373,1032709,12
0000000076,1,0.00872093023255814,1376,1032717,13
0000000077,1,0.008746355685131196,1372,1032715,13
0000000078,1,0.008727272727272728,1375,1032721,14
