Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,,,,108,582274,51
0000000002,1,,,,4668,582297,127
0000000003,1,,,,482,582277,9
0000000004,1,0.005970149253731343,0.0,496133,335,582276,8
0000000005,,,,,4,582274,0
0000000006,,,,,1,582274,0
0000000007,1,0.125,0.0,496133,16,582274,6
0000000008,1,,,,386,582289,8
0000000009,1,,,,17,176176,2
0000000010,1,,,,108,988026,14
0000000011,1,,,,4381,988048,165
0000000012,1,,,,480,988027,14
0000000013,1,,,,334,988027,14
0000000014,,,,,4,988026,0
0000000015,1,,,,114,988026,13
0000000016,,,,,1,988026,0
0000000017,1,,,,16,988026,13
0000000018,1,,,,40,988026,14
0000000019,75,,,,9,988026,12
0000000020,1,,,,1376,988029,18
0000000021,1,,,,29,988029,14
0000000022,1,,,,4573,541082,71
0000000023,1,,,,7820,541102,263
0000000024,1,,,,4831,541095,81
0000000025,1,,,,2938,541096,44
0000000026,1,,,,3811,541094,93
0000000027,1,,,,801,541092,8
0000000028,1,,,,16429,541136,2173
0000000029,1,,,,24,541136,8
0000000030,1,,,,16421,541128,1163
0000000031,1,,,,24,541128,7
0000000032,1,,,,12539,598496,896
0000000033,1,,,,2987,598490,33
0000000034,1,,,,13751,598503,720
0000000035,1,,,,10895,598515,507
0000000036,6,,,,9,598515,8
0000000037,1,,,,82,266307,3
0000000038,1,0.0014364376346660283,1.1463072657138523E-7,241730,4177,270441,79
0000000039,2,,,,482,282757,6
0000000040,2,,,,302,286886,5
0000000041,,,,,4,286886,0
0000000042,1,,,,82,385185,5
0000000043,1,0.0014364376346660283,1.1463072657138523E-7,271055,4177,385223,53
0000000044,3,,,,482,385227,7
0000000045,2,,,,303,385267,5
0000000046,,,,,4,385264,0
0000000047,1,,,,82,442619,6
0000000048,1,0.0014364376346660283,1.1463072657138523E-7,271081,4177,442656,53
0000000049,4,,,,482,450849,8
0000000050,2,,,,300,459073,6
0000000051,,,,,4,459073,0
0000000052,2,,,,218,573778,7
0000000053,,,,,1,573777,0
0000000054,1,,,,16,573778,7
0000000055,2,,,,83,1045008,16
0000000056,1,0.0014364376346660283,1.1463072657138523E-7,836001,4177,1045032,112
0000000057,1,,,,482,1045016,15
0000000058,1,,,,301,1045019,15
0000000059,,,,,4,1045018,0
0000000060,1,,,,82,754051,9
0000000061,1,0.0014364376346660283,1.1463072657138523E-7,271098,4177,754089,51
0000000062,5,,,,482,762282,12
0000000063,2,,,,300,770505,10
0000000064,,,,,4,770505,0
0000000065,1,,,,37,835991,10
0000000066,1,0.0014545454545454545,5.289256198347107E-7,241743,1375,1032677,9
0000000067,1,0.001451378809869376,5.266251124344615E-7,241743,1378,1032677,9
0000000068,1,0.001455604075691412,5.296958062923624E-7,241743,1374,1032683,9
0000000069,1,0.0014545454545454545,5.289256198347107E-7,241743,1375,1032686,8
0000000070,1,0.0014534883720930232,5.281571119524067E-7,241743,1376,1032691,8
0000000071,1,0.0014534883720930232,5.281571119524067E-7,241743,1376,1032697,9
0000000072,1,0.0014566642388929353,5.304676762173836E-7,241743,1373,1032703,8
0000000073,1,0.001451378809869376,5.266251124344615E-7,241743,1378,1032706,10
0000000074,1,0.001455604075691412,5.296958062923624E-7,241743,1374,1032706,10
0000000075,1,0.0014566642388929353,5.304676762173836E-7,241743,1373,1032709,9
0000000076,1,0.0014534883720930232,5.281571119524067E-7,241743,1376,1032717,9
0000000077,1,0.0014577259475218659,5.312412345196304E-7,241743,1372,1032715,9
0000000078,1,0.0014545454545454545,5.289256198347107E-7,241743,1375,1032721,10
0000000079,1,0.0014545454545454545,5.289256198347107E-7,241743,1375,1032778,11
0000000080,1,0.001455604075691412,5.296958062923624E-7,241743,1374,1032782,9
0000000081,1,,,,1383,1032794,21
0000000082,1,0.0014566642388929353,0.0,241742,1373,1032798,9
0000000083,1,0.0014534883720930232,0.0,241742,1376,1032800,8
0000000084,1,0.001451378809869376,0.0,241742,1378,1032810,8
0000000085,1,,,,236,1032816,14
0000000086,1,,,,1375,1032682,17
0000000087,1,0.0014534883720930232,5.281571119524067E-7,241743,1376,1032699,9
0000000088,1,0.001455604075691412,5.296958062923624E-7,241743,1374,1032696,13
0000000089,1,0.0014534883720930232,0.0,241742,1376,1032694,10
0000000090,1,0.0014524328249818446,0.0,241742,1377,1032700,9
0000000091,1,,,,1376,1032722,23
0000000092,1,0.001455604075691412,0.0,241747,1374,1032718,10
0000000093,1,0.0014534883720930232,0.0,241747,1376,1032721,8
0000000094,1,0.004962779156327543,0.0,241747,403,1032727,3
0000000095,1,0.0014524328249818446,5.273902777711854E-7,241750,1377,1045013,8
0000000096,1,0.0014545454545454545,5.289256198347107E-7,241759,1375,1045043,8
0000000097,1,,,,1376,1045044,17
0000000098,1,0.0014524328249818446,5.273902777711854E-7,241759,1377,1045047,10
0000000099,1,0.0014577259475218659,5.312412345196304E-7,241759,1372,1045045,8
0000000100,1,0.001451378809869376,5.266251124344615E-7,241759,1378,1045043,9
0000000101,1,0.0014524328249818446,0.0,241758,1377,1045045,9
0000000102,1,0.0014545454545454545,5.289256198347107E-7,241759,1375,1045042,9
0000000103,1,0.001448225923244026,0.0,241758,1381,1045046,9
0000000104,1,0.0014534883720930232,5.281571119524067E-7,241759,1376,1045047,9
0000000105,1,0.0014545454545454545,5.289256198347107E-7,241759,1375,1045043,9
0000000106,1,0.001451378809869376,5.266251124344615E-7,241759,1378,1045048,8
0000000107,1,0.0014534883720930232,5.281571119524067E-7,241759,1376,1045045,8
0000000108,1,,,,1378,1045047,19
0000000109,1,0.0014545454545454545,5.289256198347107E-7,241759,1375,1045043,9
0000000110,1,0.0014545454545454545,5.289256198347107E-7,241759,1375,1045048,12
0000000111,1,,,,1378,1045047,17
0000000112,1,0.0014524328249818446,5.273902777711854E-7,241759,1377,1045045,8
0000000113,1,0.0014534883720930232,0.0,241758,1376,1045043,8
0000000114,1,0.001455604075691412,0.0,241758,1374,1045040,9
0000000115,1,0.0014545454545454545,5.289256198347107E-7,241759,1375,1045041,9
0000000116,1,0.001451378809869376,5.266251124344615E-7,241759,1378,1045047,8
0000000117,1,0.0014503263234227702,5.258616111032525E-7,241759,1379,1045049,9
0000000118,1,,,,1377,1045047,18
0000000119,1,,,,1376,1045047,17
0000000120,1,,,,1377,1045045,20
0000000121,1,0.0014503263234227702,5.258616111032525E-7,241759,1379,1045047,9
0000000122,1,0.0014566642388929353,5.304676762173836E-7,241759,1373,1045043,9
0000000123,1,0.0014461315979754157,5.228241496657324E-7,241759,1383,1045053,9
0000000124,1,0.0014503263234227702,5.258616111032525E-7,241759,1379,1045044,9
0000000125,1,0.0014566642388929353,5.304676762173836E-7,241760,1373,1045039,9
0000000126,1,0.001444043321299639,5.213152784475231E-7,241759,1385,1045052,9
0000000127,1,0.0014577259475218659,5.312412345196304E-7,241760,1372,1045040,10
0000000128,1,,,,1379,1045046,18
0000000129,1,0.0014524328249818446,0.0,241758,1377,1045043,9
0000000130,1,,,,1373,1045044,17
0000000131,1,,,,1200,1045043,17
0000000132,1,0.0091324200913242,0.0,278672,219,1045037,4
0000000133,,,,,1,1045030,0
0000000134,1,0.125,0.0,278671,16,1045030,4
0000000135,1,,,,37,1045047,12
0000000136,1,0.009174311926605505,0.0,368874,218,1045041,5
0000000137,,,,,1,1045040,1
0000000138,1,,,,16,1045040,12
0000000139,2,,,,37,1045047,13
0000000140,1,0.0014545454545454545,0.0,241773,1375,1045047,8
0000000141,1,0.0014577259475218659,5.312412345196304E-7,241782,1372,1045114,8
0000000142,1,0.001455604075691412,0.0,241787,1374,1045127,9
0000000143,1,0.0014534883720930232,5.281571119524067E-7,241788,1376,1045135,8
0000000144,1,0.0014587892049598833,5.320164861268721E-7,241788,1371,1045116,10
0000000145,1,0.001448225923244026,0.0,241787,1381,1045120,9
0000000146,1,,,,219,1045035,15
0000000147,,,,,1,1045033,0
0000000148,1,,,,16,1045033,13
0000000149,1,,,,37,1045028,14
0000000150,1,,,,71,1045105,12
