Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,,,,167,1045258,16
0000000002,1,,,,123,1044794,13
0000000003,1,0.0019880715705765406,9.881071424336684E-7,434276,1006,1044802,9
0000000004,1,0.0013271400132714001,4.4032515370650305E-7,434276,1507,1044803,12
0000000005,1,,,,433,1044803,13
0000000006,1,,,,509,36909,1
0000000007,2,,,,22,36908,1
0000000008,1,,,,150,1044824,14
0000000009,1,,,,52,1044824,14
0000000010,1,,,,166,1045346,15
0000000011,1,,,,22,1044835,13
0000000012,1,,,,250,1044834,14
0000000013,3,,,,13,1044834,14
0000000014,1,,,,122,53251,1
0000000015,1,0.0019880715705765406,9.881071424336684E-7,24580,1006,53257,3
0000000016,1,0.0013271400132714001,4.4032515370650305E-7,24580,1507,53258,7
0000000017,1,,,,434,53258,1
0000000018,1,,,,1396,1044845,18
0000000019,1,0.0016339869281045752,0.0,434294,1224,1044848,10
0000000020,1,0.001635322976287817,6.68570309193711E-7,434294,1223,1044853,9
0000000021,1,0.0016406890894175555,6.729651720334518E-7,434294,1219,1044849,9
0000000022,1,0.0016366612111292963,6.696649800038037E-7,434295,1222,1044857,9
0000000023,1,0.001639344262295082,0.0,434327,1220,1044881,9
0000000024,1,0.0016326530612244899,0.0,434356,1225,1044929,10
0000000025,1,,,,1222,1044994,18
0000000026,1,0.001635322976287817,6.68570309193711E-7,434397,1223,1044968,10
0000000027,1,0.0016313213703099511,6.653023533074842E-7,434397,1226,1044971,9
0000000028,1,0.001635322976287817,6.68570309193711E-7,434397,1223,1044968,9
0000000029,1,,,,1223,1044968,17
0000000030,1,0.001638001638001638,6.707623415240124E-7,434397,1221,1044966,9
0000000031,1,,,,1220,1044965,18
0000000032,1,0.001635322976287817,6.68570309193711E-7,434397,1223,1044970,13
0000000033,1,0.001639344262295082,0.0,434396,1220,1044967,10
0000000034,1,0.001638001638001638,6.707623415240124E-7,434397,1221,1044973,10
0000000035,1,0.001635322976287817,6.68570309193711E-7,434397,1223,1044975,9
0000000036,1,,,,1221,1044973,17
0000000037,1,0.001639344262295082,6.718624025799517E-7,434397,1220,1044972,9
0000000038,1,0.0016406890894175555,6.729651720334518E-7,434397,1219,1044971,10
0000000039,1,0.001638001638001638,6.707623415240124E-7,434397,1221,1044973,9
0000000040,1,0.001635322976287817,0.0,434400,1223,1044986,9
0000000041,1,0.001639344262295082,6.718624025799517E-7,434413,1220,1044995,10
0000000042,1,,,,1219,1045014,18
0000000043,1,0.0016406890894175555,6.729651720334518E-7,434428,1219,1045014,9
0000000044,1,0.001635322976287817,0.0,434427,1223,1045018,26
0000000045,1,0.001638001638001638,6.707623415240124E-7,434428,1221,1045016,12
0000000046,1,,,,926,1045020,16
0000000047,1,0.001644736842105263,6.762898199445983E-7,434428,1216,1045022,9
0000000048,1,0.001638001638001638,0.0,434427,1221,1045037,16
0000000049,1,,,,884,1045036,15
0000000050,1,,,,10,1045036,12
0000000051,1,,,,149,53258,1
0000000052,1,,,,52,53258,1
0000000053,1,,,,26,53258,0
0000000054,1,,,,13,1045009,15
0000000055,1,,,,302,1045009,14
0000000056,1,,,,531,36910,2
0000000057,1,,,,122,98317,1
0000000058,1,0.0019880715705765406,9.881071424336684E-7,69646,1006,98323,4
0000000059,1,0.0013271400132714001,4.4032515370650305E-7,69646,1507,98324,8
0000000060,1,,,,434,98325,3
0000000061,1,,,,122,188632,5
0000000062,1,0.0019880715705765406,9.881071424336684E-7,151766,1006,188638,7
0000000063,1,0.0013271400132714001,4.4032515370650305E-7,151766,1507,188639,10
0000000064,1,,,,434,188639,4
0000000065,1,,,,124,32770,1
0000000066,1,0.0019880715705765406,9.881071424336684E-7,4097,1006,32774,3
0000000067,1,0.0013271400132714001,4.4032515370650305E-7,4097,1507,32775,7
0000000068,1,,,,434,32775,1
0000000069,1,,,,122,57351,1
0000000070,1,0.0019880715705765406,9.881071424336684E-7,32776,1006,57357,4
0000000071,1,0.0013271400132714001,4.4032515370650305E-7,32776,1507,57358,7
0000000072,1,,,,432,57358,1
0000000073,1,,,,122,73799,1
0000000074,1,0.0019880715705765406,9.881071424336684E-7,32805,1006,73805,4
0000000075,1,0.0013271400132714001,4.4032515370650305E-7,32805,1507,73806,7
0000000076,1,,,,433,73806,1
0000000077,1,,,,123,28674,0
0000000078,1,0.0019880715705765406,9.881071424336684E-7,8194,1006,28679,3
0000000079,1,0.0013271400132714001,4.4032515370650305E-7,8194,1507,28680,6
0000000080,1,,,,433,28681,1
0000000081,1,,,,158,98325,2
0000000082,1,,,,52,98324,2
0000000083,1,,,,160,188646,5
0000000084,1,,,,52,188643,3
0000000085,1,,,,26,188643,4
0000000086,1,,,,158,57359,1
0000000087,1,,,,52,57358,1
0000000088,1,,,,26,57358,1
0000000089,1,,,,157,57358,0
0000000090,1,,,,52,57358,1
0000000091,2,,,,26,57358,1
0000000092,1,,,,157,73806,1
0000000093,1,,,,52,73806,1
0000000094,1,,,,26,73806,1
0000000095,1,,,,157,28680,0
0000000096,1,,,,52,28680,1
0000000097,1,,,,26,28680,0
0000000098,1,,,,113,98318,2
0000000099,1,0.0012970168612191958,4.205631845717237E-7,69640,1542,98319,8
0000000100,1,0.0013306719893546241,0.0,69639,1503,98314,7
0000000101,1,,,,2610,98318,22
0000000102,,,,,1,98318,0
0000000103,1,0.001455604075691412,5.296958062923624E-7,69640,1374,98322,7
0000000104,1,0.001463057790782736,5.35134524792515E-7,69640,1367,98315,6
0000000105,1,0.0014609203798392988,5.335720890574503E-7,69640,1369,98317,7
0000000106,1,0.0014534883720930232,5.281571119524067E-7,69640,1376,98324,6
0000000107,1,0.00145985401459854,5.327934359848686E-7,69640,1370,98318,6
0000000108,1,0.001326259946949602,4.397413617206903E-7,69640,1508,98323,7
0000000109,1,0.0010052777079668257,0.0,69639,3979,98320,50
0000000110,1,0.0013297872340425532,0.0,69639,1504,98321,11
0000000111,1,0.0013271400132714001,0.0,69639,1507,98324,8
0000000112,1,0.001326259946949602,4.397413617206903E-7,69640,1508,98325,8
0000000113,1,,,,1511,98328,8
0000000114,1,0.0013271400132714001,4.4032515370650305E-7,69640,1507,98324,7
