Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,,,,122,802879,10
0000000002,1,0.0016019223067681217,0.0,372805,2497,802920,22
0000000003,2,,,,123,1044683,15
0000000004,1,,,,2496,1044721,30
0000000005,1,,,,498,1044771,13
0000000006,1,,,,40,1044780,13
0000000007,128,,,,9,1044780,19
0000000008,1,,,,366,1044781,14
0000000009,1,,,,132,1044829,13
0000000010,1,,,,10,1044849,14
0000000011,29,,,,9,1044848,13
0000000012,5,,,,17,1044846,19
0000000013,1,,,,123,1045282,14
0000000014,1,,,,2495,1045301,30
0000000015,1,,,,497,1045279,14
0000000016,1,,,,40,1045274,13
0000000017,196,,,,9,1045275,13
0000000018,1,,,,751,1045276,16
0000000019,1,0.0014234875444839859,5.065791973252619E-7,586274,1405,1045282,16
0000000020,1,0.0014265335235378032,0.0,586273,1402,1045279,14
0000000021,1,0.0014285714285714286,5.10204081632653E-7,586275,1400,1045278,14
0000000022,1,0.0014275517487508922,0.0,585902,1401,1044891,13
0000000023,1,0.005089058524173028,0.0,585902,393,1044893,8
0000000024,1,,,,95,1044958,13
0000000025,1,0.0014255167498218105,5.080245010056346E-7,585930,1403,1044981,15
0000000026,1,0.0014295925661186562,0.0,585929,1399,1044977,15
0000000027,1,0.0014285714285714286,5.10204081632653E-7,585971,1400,1045022,13
0000000028,1,0.0014245014245014246,5.073010771016469E-7,585943,1404,1045000,14
0000000029,1,0.0014245014245014246,5.073010771016469E-7,585942,1404,1044999,15
0000000030,1,0.0014275517487508922,5.094759988404327E-7,585945,1401,1045000,14
0000000031,1,0.0014275517487508922,5.094759988404327E-7,585958,1401,1045013,16
0000000032,1,0.0014255167498218105,5.080245010056346E-7,585953,1403,1045010,13
0000000033,1,0.0014275517487508922,5.094759988404327E-7,585952,1401,1045007,15
0000000034,1,0.0014245014245014246,5.073010771016469E-7,585944,1404,1045002,15
0000000035,1,0.0014265335235378032,5.08749473444295E-7,586007,1402,1045063,15
0000000036,1,0.0019230769230769232,9.245562130177516E-7,585941,1040,1044997,11
0000000037,1,0.0014265335235378032,5.08749473444295E-7,585941,1402,1044997,14
0000000038,1,0.0014265335235378032,5.08749473444295E-7,585942,1402,1044998,13
0000000039,1,0.0014275517487508922,5.094759988404327E-7,585945,1401,1045000,15
0000000040,1,0.001430615164520744,5.116649372391788E-7,585947,1398,1044999,15
0000000041,1,0.0014275517487508922,5.094759988404327E-7,585945,1401,1045000,14
0000000042,1,0.0014234875444839859,5.065791973252619E-7,585945,1405,1045004,13
0000000043,1,0.0014295925661186562,5.109337262754311E-7,585945,1399,1044998,14
0000000044,1,0.0014316392269148174,5.12397719010314E-7,585945,1397,1044996,14
0000000045,1,0.0014316392269148174,0.0,585944,1397,1044996,14
0000000046,1,0.0014285714285714286,0.0,585944,1400,1044999,14
0000000047,1,,,,1398,1044997,25
0000000048,1,,,,1041,1044999,18
0000000049,1,0.0014285714285714286,5.10204081632653E-7,585946,1400,1045000,15
0000000050,1,,,,1402,1045002,19
0000000051,1,0.0014275517487508922,0.0,585948,1401,1045004,17
0000000052,1,,,,1402,1045007,21
0000000053,1,,,,1400,1045005,20
0000000054,1,0.0014275517487508922,0.0,585952,1401,1045008,14
0000000055,1,0.0014285714285714286,0.0,585950,1400,1045005,15
0000000056,1,,,,1403,1045010,21
0000000057,1,,,,1400,1045006,23
0000000058,1,0.0014285714285714286,0.0,585951,1400,1045006,15
0000000059,1,0.0014285714285714286,0.0,585951,1400,1045006,14
0000000060,1,,,,827,1045007,17
0000000061,1,,,,210,1045006,17
0000000062,1,,,,1399,1045004,20
0000000063,1,0.0014275517487508922,0.0,585950,1401,1045006,14
0000000064,1,,,,952,1045002,18
