Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,0.0014391940513312545,1.1507108429929275E-7,8192,4169,28690,73
0000000002,1,,,,271,28674,1
0000000003,,,,,1,28674,0
0000000004,1,0.125,0.0,8193,16,28673,0
0000000005,1,,,,40,28673,0
0000000006,1,,,,9,28673,0
0000000007,1,0.0010643959552953698,2.8323468741228575E-7,8194,1879,28677,10
0000000008,1,0.0014678899082568807,0.0,8193,2725,28679,21
0000000009,1,0.0032626427406199023,0.0,8193,613,28681,1
0000000010,1,,,,4063,28687,45
0000000011,1,0.0015564202334630351,0.0,8193,1285,28687,5
0000000012,1,,,,21,28688,0
0000000013,1,,,,9,28688,1
0000000014,1,,,,13,1045593,13
0000000015,1,,,,145,1045598,15
0000000016,1,,,,78,94248,1
0000000017,1,,,,4716,94274,87
0000000018,1,0.0010804970286331713,2.9186845722127803E-7,73769,1851,94260,11
0000000019,1,,,,334,94249,1
0000000020,,,,,4,94248,0
0000000021,1,,,,79,28673,1
0000000022,1,,,,4716,28698,60
0000000023,1,0.0010804970286331713,2.9186845722127803E-7,8193,1851,28684,9
0000000024,1,,,,333,28672,0
0000000025,,,,,4,28672,0
0000000026,1,,,,203,94249,1
0000000027,,,,,1,94248,0
0000000028,1,0.125,0.0,73768,16,94248,1
0000000029,1,,,,78,225337,3
0000000030,1,0.001272264631043257,8.992540507797971E-8,204856,4716,225363,62
0000000031,1,0.0010804970286331713,2.9186845722127803E-7,204858,1851,504034,15
0000000032,1,,,,334,504023,6
0000000033,,,,,4,504022,0
0000000034,1,,,,78,73788,1
0000000035,1,,,,4716,73814,62
0000000036,1,0.0010804970286331713,2.9186845722127803E-7,53309,1851,73800,11
0000000037,1,,,,335,73790,1
0000000038,,,,,4,73788,0
0000000039,1,,,,78,348388,4
0000000040,1,,,,4716,348414,66
0000000041,1,0.0010804970286331713,2.9186845722127803E-7,327909,1851,348400,14
0000000042,1,,,,335,348359,5
0000000043,,,,,4,348357,0
0000000044,1,,,,78,36869,0
0000000045,1,0.001272264631043257,8.992540507797971E-8,16388,4716,36895,67
0000000046,1,0.0010804970286331713,2.9186845722127803E-7,16390,1851,36881,9
0000000047,1,,,,334,36870,1
0000000048,,,,,4,36869,0
0000000049,1,,,,78,24576,0
0000000050,1,,,,4167,24602,51
0000000051,1,0.0010828370330265296,2.9313401002342434E-7,4097,1847,24584,10
0000000052,1,,,,333,24576,0
0000000053,,,,,4,24576,0
0000000054,1,,,,48,614619,8
0000000055,1,,,,699,614609,9
0000000056,1,,,,203,69662,1
0000000057,,,,,1,69661,0
0000000058,1,,,,16,69661,1
0000000059,1,0.001953125,0.0,172088,1024,614587,7
0000000060,1,0.001949317738791423,9.499599116917266E-7,172089,1026,614592,5
0000000061,1,0.001953125,9.5367431640625E-7,172082,1024,614580,5
0000000062,1,0.0019455252918287938,9.462671652863783E-7,172084,1028,614586,6
0000000063,1,0.001943634596695821,9.444288613682318E-7,172084,1029,614587,5
0000000064,1,0.001951219512195122,9.518143961927424E-7,172084,1025,614583,5
0000000065,1,0.001943634596695821,9.444288613682318E-7,172084,1029,614587,4
0000000066,1,0.0019455252918287938,9.462671652863783E-7,172082,1028,614584,5
0000000067,1,0.0019474196689386564,9.481108417422864E-7,172082,1027,614583,6
0000000068,1,0.0019474196689386564,9.481108417422864E-7,172082,1027,614583,5
