Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,,,,78,28692,0
0000000002,1,,,,4716,28718,61
0000000003,1,0.0010804970286331713,2.9186845722127803E-7,8213,1851,28704,11
0000000004,1,,,,334,28693,0
0000000005,,,,,4,28692,0
0000000006,1,,,,203,28693,0
0000000007,,,,,1,28692,0
0000000008,1,0.125,0.0,8212,16,28692,0
0000000009,1,0.001953125,9.5367431640625E-7,8213,1024,28692,3
0000000010,1,,,,1029,28697,3
0000000011,1,0.0019474196689386564,0.0,8212,1027,28695,3
0000000012,1,0.001953125,9.5367431640625E-7,8213,1024,28692,3
0000000013,1,0.001943634596695821,9.444288613682318E-7,8213,1029,28697,3
0000000014,1,0.0019474196689386564,9.481108417422864E-7,8213,1027,28695,4
0000000015,1,0.001949317738791423,9.499599116917266E-7,8213,1026,28694,4
0000000016,1,0.001941747572815534,9.425959091337543E-7,8213,1030,28698,3
0000000017,1,0.001951219512195122,9.518143961927424E-7,8213,1025,28693,3
0000000018,1,,,,1027,28695,4
0000000019,1,,,,1028,28696,4
0000000020,1,0.001951219512195122,9.518143961927424E-7,8213,1025,28693,3
0000000021,1,0.001949317738791423,0.0,8212,1026,28694,5
0000000022,1,0.0019455252918287938,0.0,8212,1028,28696,4
0000000023,1,0.0019455252918287938,9.462671652863783E-7,8213,1028,28696,3
0000000024,1,,,,1026,28694,3
0000000025,1,0.001943634596695821,0.0,8212,1029,28697,3
0000000026,1,0.0019474196689386564,9.481108417422864E-7,8213,1027,28695,3
0000000027,1,0.001943634596695821,9.444288613682318E-7,8213,1029,28697,4
0000000028,1,0.0019455252918287938,0.0,8212,1028,28696,3
0000000029,1,,,,1026,28694,4
0000000030,1,0.0019474196689386564,9.481108417422864E-7,8213,1027,28695,5
0000000031,1,,,,489,28696,2
0000000032,1,0.0019474196689386564,9.481108417422864E-7,8213,1027,28695,3
0000000033,1,,,,1027,28695,4
0000000034,1,0.001937984496124031,9.389459768042786E-7,8213,1032,28700,3
