Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,2,,,,122,1045331,14
0000000002,1,,,,19,1045331,13
0000000003,1,0.001041938004688721,0.0,553390,3839,1045349,47
0000000004,1,0.025,0.0,553399,80,1045344,8
0000000005,1,0.038461538461538464,0.0,553396,52,1045340,8
0000000006,1,,,,281,1045332,14
0000000007,1,,,,21,1045341,14
0000000008,80,,,,9,1045341,13
0000000009,1,,,,734,1045352,23
0000000010,1,,,,123,1044963,22
0000000011,1,,,,19,1044956,14
0000000012,1,0.001041938004688721,0.0,434254,3839,1044970,46
0000000013,1,,,,79,1044962,15
0000000014,1,,,,52,1044962,14
0000000015,1,,,,15691,1045448,893
0000000016,1,0.0016181229773462784,0.0,553423,2472,1045452,25
0000000017,1,,,,282,1044980,15
0000000018,1,,,,21,1044991,15
0000000019,1,,,,13980,1045491,719
0000000020,1,0.0011510791366906475,0.0,553424,3475,1045501,44
0000000021,1,,,,12979,1045484,677
0000000022,1,0.0012903225806451613,0.0,553422,3100,1045484,35
0000000023,1,0.0011642411642411642,6.915599431191948E-8,553419,12025,1045480,507
0000000024,1,0.0015026296018031556,0.0,553422,1331,1045459,14
0000000025,1,,,,166,1045442,15
0000000026,1,0.001606425702811245,6.451508846631506E-7,553405,1245,1045442,11
