Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,,,,122,1044985,14
0000000002,1,,,,19,1044985,13
0000000003,1,0.0011689070718877848,0.0,434239,3422,1045007,38
0000000004,1,,,,80,1045032,14
0000000005,1,,,,36,1045032,13
0000000006,1,,,,265,1044988,14
0000000007,1,,,,249,1045007,13
0000000008,1,,,,9,1045017,14
0000000009,1,,,,21,1045017,14
0000000010,,,,,4,1045018,0
0000000011,1,,,,18,1045018,14
0000000012,1,,,,364,1045018,13
0000000013,1,,,,17,1045018,14
0000000014,1,,,,122,254052,3
0000000015,1,,,,19,254052,3
0000000016,1,0.0011689070718877848,0.0,217186,3422,254074,36
0000000017,1,,,,79,254052,4
0000000018,1,0.05555555555555555,0.0,217186,36,254052,3
0000000019,1,,,,265,254052,3
0000000020,1,,,,265,254052,3
0000000021,1,,,,9,254052,3
0000000022,1,,,,21,254052,3
0000000023,,,,,4,254052,0
0000000024,14,,,,9,254052,4
0000000025,1,,,,9,254052,3
0000000026,1,,,,795,254054,8
0000000027,1,,,,5051,295075,134
0000000028,,,,,1,295072,0
0000000029,1,,,,16,295072,5
0000000030,1,,,,303,295080,5
0000000031,1,,,,4409,1045295,67
0000000032,,,,,1,1045276,0
0000000033,1,,,,16,1045276,13
0000000034,1,,,,6031,1045305,128
0000000035,1,,,,122,594551,9
0000000036,1,,,,19,594551,8
0000000037,1,,,,4597,594567,66
0000000038,1,,,,80,594551,9
0000000039,1,0.05555555555555555,0.0,225543,36,594551,3
0000000040,1,,,,122,139319,2
0000000041,1,,,,19,139321,1
0000000042,1,,,,4597,139335,59
0000000043,1,0.02564102564102564,0.0,110648,78,139320,1
0000000044,1,,,,36,139319,2
0000000045,1,,,,265,594552,8
0000000046,1,,,,267,594554,9
0000000047,3,,,,9,594552,8
0000000048,1,,,,122,204937,2
0000000049,1,,,,19,204942,3
0000000050,1,,,,4597,204958,68
0000000051,1,,,,80,204942,3
0000000052,1,,,,36,204942,3
0000000053,1,,,,122,114731,2
0000000054,1,,,,19,114731,1
0000000055,1,,,,4597,114747,62
0000000056,1,,,,79,114731,1
0000000057,1,,,,36,114731,2
0000000058,1,,,,21,594553,8
0000000059,,,,,4,594553,0
0000000060,78,,,,9,594553,8
0000000061,1,,,,9,594552,8
0000000062,1,,,,478,594553,9
0000000063,1,0.0015337423312883436,5.880913846964507E-7,225544,1304,594556,7
0000000064,1,,,,1306,594558,13
0000000065,1,0.0015325670498084292,0.0,225543,1305,594557,8
0000000066,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,594555,8
0000000067,1,0.001530221882172915,0.0,225543,1307,594559,8
0000000068,1,,,,1305,594557,12
0000000069,1,,,,1303,594555,13
0000000070,1,0.0015372790161414297,0.0,225543,1301,594553,8
0000000071,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,594555,8
0000000072,1,0.0015337423312883436,5.880913846964507E-7,225544,1304,594556,7
0000000073,1,0.0015290519877675841,5.84499995324E-7,225544,1308,594560,8
0000000074,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,594555,10
0000000075,1,,,,787,594557,11
0000000076,3,,,,9,594557,8
0000000077,1,,,,1302,594554,18
0000000078,1,0.0015325670498084292,0.0,225543,1305,594557,11
0000000079,1,,,,375,594558,10
0000000080,2,,,,9,594558,7
0000000081,1,,,,237,594557,8
0000000082,1,,,,774,594559,9
0000000083,2,,,,9,594557,10
0000000084,1,,,,214,594557,9
0000000085,1,,,,823,594558,10
0000000086,1,,,,265,139321,3
0000000087,1,,,,266,139322,2
0000000088,1,,,,9,139321,1
0000000089,1,,,,21,139321,2
0000000090,,,,,4,139321,0
0000000091,,,,,2,139321,0
0000000092,1,,,,266,204944,3
0000000093,1,,,,266,204944,3
0000000094,2,,,,9,204943,3
0000000095,1,,,,21,204943,3
0000000096,,,,,4,204943,0
0000000097,,,,,2,204943,0
0000000098,1,,,,265,114740,1
0000000099,1,,,,267,114742,1
0000000100,1,,,,9,114740,1
0000000101,1,,,,21,114740,2
0000000102,,,,,4,114740,0
0000000103,,,,,2,114740,0
0000000104,1,,,,9,344375,4
0000000105,1,,,,205,344375,6
0000000106,1,0.0015337423312883436,0.0,225543,1304,344375,8
0000000107,1,,,,1304,344375,10
0000000108,1,0.0015313935681470138,0.0,225543,1306,344377,8
0000000109,1,0.0015337423312883436,5.880913846964507E-7,225544,1304,344375,7
0000000110,1,0.0015313935681470138,5.862915651405107E-7,225544,1306,344377,7
0000000111,1,0.0015313935681470138,5.862915651405107E-7,225544,1306,344377,8
0000000112,1,,,,853,344376,8
0000000113,2,,,,9,344378,6
0000000114,1,,,,203,344377,5
0000000115,1,0.0015360983102918587,0.0,225543,1302,344375,7
0000000116,1,0.0015313935681470138,5.862915651405107E-7,225544,1306,344379,8
0000000117,1,0.001530221882172915,0.0,225543,1307,344380,8
0000000118,1,0.001530221882172915,5.853947521702047E-7,225544,1307,344380,8
0000000119,1,0.0015325670498084292,5.871904405396281E-7,225544,1305,344378,8
0000000120,1,0.0015313935681470138,5.862915651405107E-7,225544,1306,344379,8
0000000121,1,0.0015337423312883436,5.880913846964507E-7,225544,1304,344377,8
0000000122,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,344376,8
0000000123,1,,,,1305,344378,10
0000000124,1,0.0015313935681470138,0.0,225543,1306,344379,9
0000000125,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,344374,10
0000000126,1,0.0015325670498084292,5.871904405396281E-7,225544,1305,344376,8
0000000127,1,0.002544529262086514,0.0,225543,786,344374,5
0000000128,2,,,,9,344376,6
0000000129,1,0.0015290519877675841,5.84499995324E-7,225544,1308,344381,8
0000000130,1,0.001530221882172915,5.853947521702047E-7,225544,1307,344380,8
0000000131,1,,,,1302,344375,9
0000000132,1,,,,1306,344379,10
0000000133,1,,,,1303,344376,10
0000000134,1,0.0015313935681470138,5.862915651405107E-7,225544,1306,344379,8
0000000135,1,0.001530221882172915,5.853947521702047E-7,225544,1307,344380,7
0000000136,1,0.001530221882172915,5.853947521702047E-7,225544,1307,344380,8
0000000137,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,344376,8
0000000138,1,0.0015290519877675841,5.84499995324E-7,225544,1308,344381,9
0000000139,1,0.0015325670498084292,5.871904405396281E-7,225544,1305,344378,10
0000000140,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,344376,8
0000000141,1,,,,788,344375,7
0000000142,2,,,,9,344375,6
0000000143,1,,,,1305,344376,9
0000000144,1,0.0015325670498084292,5.871904405396281E-7,225544,1305,344376,8
0000000145,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,344374,8
0000000146,1,,,,1302,344373,9
0000000147,1,0.0015313935681470138,5.862915651405107E-7,225544,1306,344375,7
0000000148,1,0.001524390243902439,5.809414039262344E-7,225544,1312,344381,8
0000000149,1,0.0015313935681470138,0.0,225543,1306,344375,8
0000000150,1,0.0015313935681470138,0.0,225543,1306,344375,8
0000000151,1,0.0015337423312883436,5.880913846964507E-7,225544,1304,344373,8
0000000152,1,,,,1306,344375,10
0000000153,1,0.0015360983102918587,5.898995047203759E-7,225544,1302,344371,8
0000000154,1,,,,1306,344375,10
0000000155,1,,,,788,344377,6
0000000156,2,,,,9,344377,4
0000000157,1,0.0015337423312883436,0.0,225543,1304,344373,7
0000000158,1,0.0015325670498084292,5.871904405396281E-7,225544,1305,344374,7
0000000159,1,,,,1301,344370,13
0000000160,1,0.0015337423312883436,0.0,225543,1304,344373,12
0000000161,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,344372,9
0000000162,1,0.0015349194167306216,5.889944039641679E-7,225544,1303,344372,9
0000000163,1,0.0015325670498084292,0.0,225543,1305,344374,8
0000000164,1,0.0015290519877675841,5.84499995324E-7,225544,1308,344377,8
0000000165,1,0.0015372790161414297,0.0,225543,1301,344370,7
0000000166,1,0.0015325670498084292,5.871904405396281E-7,225544,1305,344374,8
0000000167,1,0.0015372790161414297,5.908066933671905E-7,225544,1301,344370,8
0000000168,1,,,,197,344370,5
0000000169,,,,,2,1045821,0
0000000170,1,,,,9,344370,6
0000000171,1,,,,190,344373,10
0000000172,1,0.0015372790161414297,5.908066933671905E-7,225544,1301,344372,11
0000000173,1,,,,115,344370,6
