Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Buffers sized less than 5 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fire-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,,,,122,155731,2
0000000002,1,,,,3673,155769,47
0000000003,1,,,,500,155745,3
0000000004,1,,,,40,155741,2
0000000005,24,,,,9,155741,2
0000000006,1,,,,302,155742,2
0000000007,2,,,,9,155742,3
0000000008,6,,,,17,155742,3
0000000009,1,,,,123,1045205,13
0000000010,1,0.001089621356578589,0.0,389769,3671,1045233,41
0000000011,1,,,,501,1045209,14
0000000012,1,,,,40,1045204,15
0000000013,108,,,,9,1045204,12
0000000014,1,0.0038022813688212928,0.0,16388,526,155741,1
0000000015,1,,,,1401,155748,8
0000000016,1,0.0014275517487508922,5.094759988404327E-7,16389,1401,155747,6
0000000017,1,0.0014275517487508922,0.0,16388,1401,155745,6
0000000018,1,0.0014265335235378032,5.08749473444295E-7,16389,1402,155746,6
0000000019,1,0.0014245014245014246,0.0,16388,1404,155753,5
0000000020,1,0.0014295925661186562,5.109337262754311E-7,16389,1399,155747,6
0000000021,1,0.0014255167498218105,5.080245010056346E-7,16389,1403,155750,6
0000000022,1,0.0014285714285714286,0.0,16388,1400,155746,5
0000000023,1,0.0017985611510791368,8.087055535427773E-7,16389,1112,155749,4
0000000024,1,0.0014255167498218105,5.080245010056346E-7,16389,1403,213093,6
0000000025,1,0.0014295925661186562,5.109337262754311E-7,16389,1399,213095,7
0000000026,1,,,,400,213094,4
0000000027,1,0.0014275517487508922,0.0,16388,1401,213097,6
0000000028,1,,,,1406,213101,9
0000000029,1,,,,449,213099,4
0000000030,1,,,,62,213174,3
0000000031,1,,,,264,213171,4
0000000032,1,0.0014285714285714286,5.10204081632653E-7,16389,1400,213167,5
0000000033,1,0.0018399264029438822,8.463322920625033E-7,16389,1087,213171,4
0000000034,1,,,,162,213181,4
0000000035,1,,,,1403,213182,8
0000000036,1,0.0018148820326678765,8.234491981251708E-7,16389,1102,213184,4
0000000037,1,,,,17,213184,3
0000000038,1,,,,88,213185,3
0000000039,1,0.0014847809948032665,5.511436506322444E-7,16389,1347,213173,5
0000000040,1,,,,82,213175,7
0000000041,1,0.0014295925661186562,5.109337262754311E-7,16389,1399,213175,8
0000000042,1,,,,1405,213186,10
0000000043,1,,,,1404,213179,8
0000000044,1,0.0014265335235378032,5.08749473444295E-7,16389,1402,213180,7
