Starting Experiment with Threshold 0.01
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,0.0,108,582274,53
0000000002,1,0.017566409597257925,4668,582297,177
0000000003,1,0.04979253112033195,482,582277,15
0000000004,1,0.023880597014925373,335,582276,11
0000000005,1,0.25,4,582274,2
0000000006,1,0.0,1,582274,1
0000000007,1,0.125,16,582274,10
0000000008,1,0.0051813471502590676,386,582289,10
0000000009,1,0.35294117647058826,17,176176,2
0000000010,1,0.0,108,988026,11
0000000011,1,0.017804154302670624,4381,988048,155
0000000012,1,0.0375,480,988027,11
0000000013,1,0.017964071856287425,334,988027,11
0000000014,1,0.25,4,988026,2
0000000015,1,0.0,114,988026,11
0000000016,1,0.0,1,988026,3
0000000017,1,0.25,16,988026,10
0000000018,1,0.0,40,988026,10
0000000019,1,0.3333333333333333,9,988026,2
0000000020,1,0.020348837209302327,1376,988029,15
0000000021,1,0.13793103448275862,29,988029,10
0000000022,1,0.019243385086376557,4573,541082,75
0000000023,1,0.018670076726342712,7820,541102,254
0000000024,1,0.02525357068929828,4831,541095,81
0000000025,1,0.02110279101429544,2938,541096,41
0000000026,1,0.019417475728155338,3811,541094,106
0000000027,1,0.019975031210986267,801,541092,5
0000000028,1,0.023373303305131172,16429,541136,1713
0000000029,1,0.0,24,541136,4
0000000030,1,0.02143596614091712,16421,541128,1381
0000000031,1,0.16666666666666666,24,541128,3
0000000032,1,0.016428742323949277,12539,598496,626
0000000033,1,0.020087043856712422,2987,598490,102
0000000034,1,0.018180495963929896,13751,598503,675
0000000035,1,0.020743460302891235,10895,598515,483
0000000036,1,0.2222222222222222,9,598515,3
0000000037,1,0.04878048780487805,82,266307,5
0000000038,1,0.009576250897773522,4177,270441,53
0000000039,1,0.008298755186721992,482,282757,5
0000000040,1,0.006622516556291391,302,286886,5
0000000041,1,0.5,4,286886,3
0000000042,1,0.0,82,385185,6
0000000043,1,0.009576250897773522,4177,385223,57
0000000044,1,0.02074688796680498,482,385227,5
0000000045,1,0.019801980198019802,303,385267,5
0000000046,1,0.25,4,385264,2
0000000047,1,0.0,82,442619,5
0000000048,1,0.009576250897773522,4177,442656,112
0000000049,1,0.02074688796680498,482,450849,6
0000000050,1,0.04,300,459073,7
0000000051,1,0.25,4,459073,3
0000000052,1,0.009174311926605505,218,573778,6
0000000053,1,0.0,1,573777,2
0000000054,1,0.0,16,573778,8
0000000055,1,0.0,83,1045008,14
0000000056,1,0.011970313622216903,4177,1045032,67
0000000057,1,0.008298755186721992,482,1045016,21
0000000058,1,0.006644518272425249,301,1045019,21
0000000059,1,0.25,4,1045018,1
0000000060,1,0.0,82,754051,8
0000000061,1,0.009576250897773522,4177,754089,56
0000000062,1,0.02074688796680498,482,762282,14
0000000063,1,0.013333333333333334,300,770505,8
0000000064,1,0.25,4,770505,3
0000000065,1,0.21621621621621623,37,835991,5
0000000066,1,0.008727272727272728,1375,1032677,12
0000000067,1,0.008708272859216255,1378,1032677,10
0000000068,1,0.008733624454148471,1374,1032683,19
0000000069,1,0.008727272727272728,1375,1032686,11
0000000070,1,0.00872093023255814,1376,1032691,11
0000000071,1,0.00872093023255814,1376,1032697,13
0000000072,1,0.010196649672250545,1373,1032703,10
0000000073,1,0.008708272859216255,1378,1032706,10
0000000074,1,0.008733624454148471,1374,1032706,11
0000000075,1,0.00873998543335761,1373,1032709,12
0000000076,1,0.00872093023255814,1376,1032717,13
0000000077,1,0.008746355685131196,1372,1032715,10
0000000078,1,0.008727272727272728,1375,1032721,11
0000000079,1,0.008727272727272728,1375,1032778,11
0000000080,1,0.011644832605531296,1374,1032782,12
0000000081,1,0.023138105567606652,1383,1032794,11
0000000082,1,0.01747997086671522,1373,1032798,10
0000000083,1,0.023255813953488372,1376,1032800,14
0000000084,1,0.013062409288824383,1378,1032810,12
0000000085,1,0.00847457627118644,236,1032816,6
0000000086,1,0.03345454545454545,1375,1032682,14
0000000087,1,0.02180232558139535,1376,1032699,11
0000000088,1,0.01601164483260553,1374,1032696,11
0000000089,1,0.024709302325581394,1376,1032694,11
0000000090,1,0.013071895424836602,1377,1032700,9
0000000091,1,0.027616279069767442,1376,1032722,13
0000000092,1,0.018922852983988356,1374,1032718,10
0000000093,1,0.015988372093023256,1376,1032721,11
0000000094,1,0.019851116625310174,403,1032727,6
0000000095,1,0.010167029774872912,1377,1045013,10
0000000096,1,0.017454545454545455,1375,1045043,11
0000000097,1,0.01744186046511628,1376,1045044,18
0000000098,1,0.008714596949891068,1377,1045047,12
