Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,0.0,108,582274,52
0000000002,1,0.002570694087403599,4668,582297,195
0000000003,1,0.008298755186721992,482,582277,10
0000000004,1,0.005970149253731343,335,582276,8
0000000005,1,0.25,4,582274,2
0000000006,1,0.0,1,582274,2
0000000007,1,0.125,16,582274,8
0000000008,1,0.0,386,582289,7
0000000009,1,0.35294117647058826,17,176176,3
0000000010,1,0.0,108,988026,10
0000000011,1,0.0027391006619493265,4381,988048,191
0000000012,1,0.0,480,988027,9
0000000013,1,0.0,334,988027,9
0000000014,1,0.25,4,988026,3
0000000015,1,0.0,114,988026,10
0000000016,1,0.0,1,988026,2
0000000017,1,0.25,16,988026,10
0000000018,1,0.0,40,988026,9
0000000019,1,0.3333333333333333,9,988026,2
0000000020,1,0.0029069767441860465,1376,988029,15
0000000021,1,0.13793103448275862,29,988029,8
0000000022,1,0.0017493986442160508,4573,541082,93
0000000023,1,0.0012787723785166241,7820,541102,343
0000000024,1,0.0016559718484785758,4831,541095,85
0000000025,1,0.0020422055820285907,2938,541096,43
0000000026,1,0.001574389923904487,3811,541094,157
0000000027,1,0.004993757802746567,801,541092,5
0000000028,1,0.0023129831395702722,16429,541136,1653
0000000029,1,0.0,24,541136,4
0000000030,1,0.001826928932464527,16421,541128,1172
0000000031,1,0.16666666666666666,24,541128,3
0000000032,1,0.002392535289895526,12539,598496,820
0000000033,1,0.002008704385671242,2987,598490,29
0000000034,1,0.0014544396771143918,13751,598503,729
0000000035,1,0.001468563561266636,10895,598515,435
0000000036,1,0.2222222222222222,9,598515,3
0000000037,1,0.04878048780487805,82,266307,5
0000000038,1,9.576250897773521E-4,4177,270441,51
0000000039,1,0.0,482,282757,9
0000000040,1,0.0,302,286886,4
0000000041,1,0.5,4,286886,4
0000000042,1,0.0,82,385185,5
0000000043,1,9.576250897773521E-4,4177,385223,115
0000000044,1,0.008298755186721992,482,385227,5
0000000045,1,0.013201320132013201,303,385267,4
0000000046,1,0.25,4,385264,3
0000000047,1,0.0,82,442619,6
0000000048,1,9.576250897773521E-4,4177,442656,52
0000000049,1,0.008298755186721992,482,450849,6
0000000050,1,0.02666666666666667,300,459073,7
0000000051,1,0.25,4,459073,2
0000000052,1,0.0,218,573778,5
0000000053,1,0.0,1,573777,2
0000000054,1,0.0,16,573778,4
0000000055,1,0.0,83,1045008,11
0000000056,1,9.576250897773521E-4,4177,1045032,60
