Starting Experiment with Threshold 0.001
(Lower threshold than before)
Stopping on first fine-grained attempt
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,1,0.0,167,1045258,14
0000000002,1,0.0,123,1044794,8
0000000003,1,0.0,1006,1044802,8
0000000004,1,0.0,1507,1044803,12
0000000005,1,0.0,433,1044803,7
0000000006,1,0.0,509,36909,1
0000000007,1,0.0,22,36908,1
0000000008,1,0.0,150,1044824,6
0000000009,1,0.0,52,1044824,55
0000000010,1,0.0,166,1045346,14
0000000011,1,0.0,22,1044835,7
0000000012,1,0.0,250,1044834,7
0000000013,1,0.15384615384615385,13,1044834,3
0000000014,1,0.0,122,53251,1
0000000015,1,0.0,1006,53257,4
0000000016,1,0.0,1507,53258,8
0000000017,1,0.013824884792626729,434,53258,2
0000000018,1,0.0028653295128939827,1396,1044845,11
0000000019,1,0.0016339869281045752,1224,1044848,10
0000000020,1,0.0,1223,1044853,9
0000000021,1,0.0,1219,1044849,12
0000000022,1,0.0,1222,1044857,10
0000000023,1,0.001639344262295082,1220,1044881,16
0000000024,1,0.0016326530612244899,1225,1044929,12
0000000025,1,0.004909983633387889,1222,1044994,11
0000000026,1,0.0,1223,1044968,10
0000000027,1,0.0,1226,1044971,13
0000000028,1,0.0,1223,1044968,11
0000000029,1,0.003270645952575634,1223,1044968,12
0000000030,1,0.0,1221,1044966,12
0000000031,1,0.003278688524590164,1220,1044965,15
0000000032,1,0.0,1223,1044970,10
0000000033,1,0.001639344262295082,1220,1044967,11
0000000034,1,0.0,1221,1044973,16
0000000035,1,0.0,1223,1044975,10
0000000036,1,0.00819000819000819,1221,1044973,10
0000000037,1,0.0,1220,1044972,10
0000000038,1,0.0,1219,1044971,12
0000000039,1,0.0,1221,1044973,10
0000000040,1,0.001635322976287817,1223,1044986,11
0000000041,1,0.0,1220,1044995,10
0000000042,1,0.003281378178835111,1219,1045014,10
0000000043,1,0.0,1219,1045014,10
0000000044,1,0.001635322976287817,1223,1045018,11
0000000045,1,0.0,1221,1045016,10
0000000046,1,0.0,926,1045020,15
0000000047,1,0.0,1216,1045022,11
0000000048,1,0.001638001638001638,1221,1045037,11
0000000049,1,0.0,884,1045036,22
0000000050,1,0.0,10,1045036,7
0000000051,1,0.0,149,53258,1
0000000052,1,0.0,52,53258,1
0000000053,1,0.0,26,53258,1
0000000054,1,0.0,13,1045009,6
0000000055,1,0.0,302,1045009,7
0000000056,1,0.0,531,36910,2
0000000057,1,0.0,122,98317,3
0000000058,1,0.0,1006,98323,6
0000000059,1,0.0,1507,98324,8
0000000060,1,0.0,434,98325,3
0000000061,1,0.0,122,188632,4
0000000062,1,0.0,1006,188638,7
0000000063,1,0.0,1507,188639,10
0000000064,1,0.013824884792626729,434,188639,3
0000000065,1,0.0,124,32770,2
0000000066,1,0.0,1006,32774,4
0000000067,1,0.0,1507,32775,7
0000000068,1,0.0,434,32775,1
0000000069,1,0.0,122,57351,2
0000000070,1,0.0,1006,57357,4
0000000071,1,0.0,1507,57358,7
0000000072,1,0.027777777777777776,432,57358,2
0000000073,1,0.0,122,73799,1
0000000074,1,0.0,1006,73805,4
0000000075,1,0.0,1507,73806,7
0000000076,1,0.018475750577367205,433,73806,2
0000000077,1,0.0,123,28674,2
0000000078,1,0.0,1006,28679,3
0000000079,1,0.0,1507,28680,8
