Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,0.0,496133,108,582274,60
0000000002,0,8.56898029134533E-4,496127,4668,582297,32
0000000003,0,0.0,496131,482,582277,9
0000000004,0,0.0,496132,335,582276,16
0000000005,0,0.0,8191,4,582274,3
0000000006,0,0.0,5,1,582274,2
0000000007,0,0.0,496132,16,582274,10
0000000008,0,0.0,496133,386,582289,9
0000000009,0,0.0,49165,17,176176,2
0000000010,0,0.0,582288,108,988026,9
0000000011,0,9.130335539831089E-4,582282,4381,988048,10
0000000012,0,0.0,582288,480,988027,9
0000000013,0,0.0,582288,334,988027,10
0000000014,0,0.0,8190,4,988026,3
0000000015,0,0.0,582288,114,988026,10
0000000016,0,0.0,5,1,988026,2
0000000017,0,0.0,582286,16,988026,10
0000000018,0,0.0,582288,40,988026,10
0000000019,0,0.0,29521,9,988026,3
0000000020,0,0.0,582286,1376,988029,10
0000000021,0,0.0,582286,29,988029,10
0000000022,0,8.746993221080254E-4,135324,4573,541082,4
0000000023,0,7.672634271099745E-4,135323,7820,541102,5
0000000024,0,8.279859242392879E-4,135324,4831,541095,4
0000000025,0,6.807351940095302E-4,135325,2938,541096,3
0000000026,0,5.247966413014956E-4,135325,3811,541094,3
0000000027,0,0.0,135326,801,541092,4
0000000028,0,9.738876377137988E-4,135309,16429,541136,5
0000000029,0,0.0,135328,24,541136,3
0000000030,0,9.743620973144144E-4,135313,16421,541128,4
0000000031,0,0.0,135326,24,541128,4
0000000032,0,9.570141159582104E-4,135313,12539,598496,4
0000000033,0,6.695681285570807E-4,135325,2987,598490,3
0000000034,0,8.726638062686351E-4,135318,13751,598503,5
0000000035,0,9.178522257916476E-4,135320,10895,598515,3
0000000036,0,0.0,85853,9,598515,3
0000000037,0,0.0,241729,82,266307,4
0000000038,0,9.576250897773521E-4,241729,4177,270441,4
0000000039,0,0.0,241754,482,282757,4
0000000040,0,0.0,241784,302,286886,5
0000000041,0,0.0,118739,4,286886,3
0000000042,0,0.0,278678,82,385185,7
0000000043,0,9.576250897773521E-4,271054,4177,385223,5
0000000044,0,0.0,275229,482,385227,5
0000000045,0,0.0,278709,303,385267,4
0000000046,0,0.0,102742,4,385264,3
0000000047,0,0.0,368881,82,442619,6
0000000048,0,9.576250897773521E-4,271080,4177,442656,6
0000000049,0,0.0,275252,482,450849,7
0000000050,0,0.0,368904,300,459073,7
0000000051,0,0.0,102749,4,459073,3
0000000052,0,0.0,241825,218,573778,5
0000000053,0,0.0,5,1,573777,3
0000000054,0,0.0,241824,16,573778,4
0000000055,0,0.0,805280,83,1045008,16
0000000056,0,9.576250897773521E-4,836000,4177,1045032,12
0000000057,0,0.0,836002,482,1045016,13
0000000058,0,0.0,836007,301,1045019,12
0000000059,0,0.0,8301,4,1045018,2
0000000060,0,0.0,450874,82,754051,7
0000000061,0,9.576250897773521E-4,271097,4177,754089,5
0000000062,0,0.0,275269,482,762282,6
0000000063,0,0.0,450869,300,770505,7
0000000064,0,0.0,102743,4,770505,3
0000000065,0,0.0,241740,37,835991,5
0000000066,0,0.0,241742,1375,1032677,5
0000000067,0,0.0,241742,1378,1032677,4
0000000068,0,0.0,241742,1374,1032683,4
0000000069,0,0.0,241742,1375,1032686,6
0000000070,0,0.0,241742,1376,1032691,5
0000000071,0,0.0,241742,1376,1032697,5
0000000072,0,0.0,241742,1373,1032703,5
0000000073,0,0.0,241742,1378,1032706,4
0000000074,0,0.0,241742,1374,1032706,5
0000000075,0,0.0,241742,1373,1032709,4
0000000076,0,0.0,241742,1376,1032717,5
0000000077,0,0.0,241742,1372,1032715,5
0000000078,0,0.0,241742,1375,1032721,4
0000000079,0,0.0,241742,1375,1032778,5
0000000080,0,0.0,241742,1374,1032782,4
0000000081,0,0.0,241738,1383,1032794,4
0000000082,0,0.0,241741,1373,1032798,5
0000000083,0,0.0,241741,1376,1032800,5
0000000084,0,0.0,241741,1378,1032810,7
0000000085,0,0.0,241742,236,1032816,5
0000000086,0,0.0,241732,1375,1032682,4
0000000087,0,0.0,241742,1376,1032699,7
0000000088,0,0.0,241742,1374,1032696,4
0000000089,0,0.0,241741,1376,1032694,10
0000000090,0,0.0,241741,1377,1032700,5
0000000091,0,0.0,241743,1376,1032722,4
0000000092,0,0.0,241746,1374,1032718,5
0000000093,0,0.0,241746,1376,1032721,5
0000000094,0,0.0,241746,403,1032727,8
0000000095,0,0.0,241749,1377,1045013,5
0000000096,0,0.0,241758,1375,1045043,5
0000000097,0,0.0,241756,1376,1045044,7
0000000098,0,0.0,241758,1377,1045047,4
0000000099,0,0.0,241758,1372,1045045,4
0000000100,0,0.0,241758,1378,1045043,5
0000000101,0,0.0,241757,1377,1045045,4
0000000102,0,0.0,241758,1375,1045042,6
0000000103,0,0.0,241757,1381,1045046,4
0000000104,0,0.0,241758,1376,1045047,5
0000000105,0,0.0,241758,1375,1045043,5
0000000106,0,0.0,241758,1378,1045048,6
0000000107,0,0.0,241758,1376,1045045,5
0000000108,0,0.0,241756,1378,1045047,5
0000000109,0,0.0,241758,1375,1045043,5
0000000110,0,0.0,241758,1375,1045048,8
0000000111,0,0.0,241755,1378,1045047,5
0000000112,0,0.0,241758,1377,1045045,4
0000000113,0,0.0,241757,1376,1045043,5
0000000114,0,0.0,241757,1374,1045040,5
0000000115,0,0.0,241758,1375,1045041,6
0000000116,0,0.0,241758,1378,1045047,5
