Starting Experiment with Threshold 0.001
Stopping till first time coarse-grained measure falls below threshold
Note also recording number of comparisons (ie offset where match is found)
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,0.0,901846,167,1045258,15
0000000002,0,0.0,434275,123,1044794,6
0000000003,0,0.0,434275,1006,1044802,7
0000000004,0,0.0,434275,1507,1044803,6
0000000005,0,0.0,434275,433,1044803,6
0000000006,0,0.0,8198,509,36909,2
0000000007,0,0.0,8198,22,36908,2
0000000008,0,0.0,434279,150,1044824,6
0000000009,0,0.0,434280,52,1044824,6
0000000010,0,0.0,901932,166,1045346,14
0000000011,0,0.0,434290,22,1044835,7
0000000012,0,0.0,434290,250,1044834,8
0000000013,0,0.0,106626,13,1044834,3
0000000014,0,0.0,24579,122,53251,1
0000000015,0,0.0,24579,1006,53257,1
0000000016,0,0.0,24579,1507,53258,2
0000000017,0,0.0,24576,434,53258,1
0000000018,0,0.0,434292,1396,1044845,7
0000000019,0,0.0,434293,1224,1044848,7
0000000020,0,0.0,434293,1223,1044853,7
0000000021,0,0.0,434293,1219,1044849,7
0000000022,0,0.0,434294,1222,1044857,9
0000000023,0,0.0,434326,1220,1044881,7
0000000024,0,0.0,434355,1225,1044929,6
0000000025,0,0.0,434420,1222,1044994,6
0000000026,0,0.0,434396,1223,1044968,6
0000000027,0,0.0,434396,1226,1044971,7
0000000028,0,0.0,434396,1223,1044968,7
0000000029,0,0.0,434394,1223,1044968,6
0000000030,0,0.0,434396,1221,1044966,7
0000000031,0,0.0,434394,1220,1044965,7
0000000032,0,0.0,434396,1223,1044970,7
0000000033,0,0.0,434395,1220,1044967,6
0000000034,0,0.0,434396,1221,1044973,7
0000000035,0,0.0,434396,1223,1044975,8
0000000036,0,0.0,434391,1221,1044973,7
0000000037,0,0.0,434396,1220,1044972,7
0000000038,0,0.0,434396,1219,1044971,6
0000000039,0,0.0,434396,1221,1044973,6
0000000040,0,0.0,434399,1223,1044986,6
0000000041,0,0.0,434412,1220,1044995,6
0000000042,0,0.0,434425,1219,1045014,7
0000000043,0,0.0,434427,1219,1045014,5
0000000044,0,0.0,434426,1223,1045018,7
0000000045,0,0.0,434427,1221,1045016,8
0000000046,0,0.0,434427,926,1045020,7
0000000047,0,0.0,434427,1216,1045022,8
0000000048,0,0.0,434426,1221,1045037,6
0000000049,0,0.0,434427,884,1045036,7
0000000050,0,0.0,434427,10,1045036,7
0000000051,0,0.0,24579,149,53258,1
0000000052,0,0.0,24579,52,53258,2
0000000053,0,0.0,24579,26,53258,1
0000000054,0,0.0,434408,13,1045009,8
0000000055,0,0.0,434408,302,1045009,7
0000000056,0,0.0,8198,531,36910,1
