Starting Experiment with Threshold 0.001
Stopping till first time coarse-grained measure falls below threshold
Note also recording number of comparisons (ie offset where match is found)
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,0.0,372798,122,802879,6
0000000002,0,8.009611533840609E-4,372804,2497,802920,7
0000000003,0,0.0,356437,123,1044683,6
0000000004,0,8.012820512820513E-4,356444,2496,1044721,7
0000000005,0,0.0,356437,498,1044771,6
0000000006,0,0.0,356438,40,1044780,7
0000000007,0,0.0,148167,9,1044780,3
0000000008,0,0.0,356437,366,1044781,8
0000000009,0,0.0,356441,132,1044829,6
0000000010,0,0.0,356440,10,1044849,5
0000000011,0,0.0,148433,9,1044848,3
0000000012,0,0.0,356441,17,1044846,5
0000000013,0,0.0,586277,123,1045282,8
0000000014,0,8.016032064128256E-4,586274,2495,1045301,8
0000000015,0,0.0,586274,497,1045279,7
0000000016,0,0.0,586274,40,1045274,8
0000000017,0,0.0,31065,9,1045275,2
0000000018,0,0.0,586272,751,1045276,8
0000000019,0,0.0,586273,1405,1045282,9
0000000020,0,0.0,586272,1402,1045279,8
0000000021,0,0.0,586274,1400,1045278,8
0000000022,0,0.0,585901,1401,1044891,8
0000000023,0,0.0,585901,393,1044893,8
0000000024,0,0.0,585907,95,1044958,9
0000000025,0,0.0,585929,1403,1044981,8
0000000026,0,0.0,585928,1399,1044977,7
0000000027,0,0.0,585970,1400,1045022,11
0000000028,0,0.0,585942,1404,1045000,8
0000000029,0,0.0,585941,1404,1044999,8
0000000030,0,0.0,585944,1401,1045000,8
0000000031,0,0.0,585957,1401,1045013,9
0000000032,0,0.0,585952,1403,1045010,9
0000000033,0,0.0,585951,1401,1045007,9
0000000034,0,0.0,585943,1404,1045002,9
0000000035,0,0.0,586006,1402,1045063,8
0000000036,0,0.0,585940,1040,1044997,8
0000000037,0,0.0,585940,1402,1044997,7
0000000038,0,0.0,585941,1402,1044998,8
0000000039,0,0.0,585944,1401,1045000,8
0000000040,0,0.0,585946,1398,1044999,7
0000000041,0,0.0,585944,1401,1045000,9
0000000042,0,0.0,585944,1405,1045004,9
0000000043,0,0.0,585944,1399,1044998,9
0000000044,0,0.0,585944,1397,1044996,8
0000000045,0,0.0,585943,1397,1044996,9
0000000046,0,0.0,585943,1400,1044999,8
0000000047,0,0.0,585942,1398,1044997,8
0000000048,0,0.0,585941,1041,1044999,8
0000000049,0,0.0,585945,1400,1045000,8
0000000050,0,0.0,585943,1402,1045002,7
0000000051,0,0.0,585947,1401,1045004,8
0000000052,0,0.0,585948,1402,1045007,7
0000000053,0,0.0,585948,1400,1045005,8
0000000054,0,0.0,585951,1401,1045008,8
0000000055,0,0.0,585949,1400,1045005,8
0000000056,0,0.0,585950,1403,1045010,9
0000000057,0,0.0,585949,1400,1045006,10
0000000058,0,0.0,585950,1400,1045006,7
0000000059,0,0.0,585950,1400,1045006,9
0000000060,0,0.0,585950,827,1045007,9
0000000061,0,0.0,585942,210,1045006,7
0000000062,0,0.0,585948,1399,1045004,9
0000000063,0,0.0,585949,1401,1045006,7
0000000064,0,0.0,585949,952,1045002,8
0000000065,0,0.0,60563,9,1045003,3
0000000066,0,0.0,159154,17,1045003,4
0000000067,0,0.0,585946,161,1045000,8
0000000068,0,0.0,585946,269,1045001,7
0000000069,0,0.0,585948,145,1045002,9
0000000070,0,0.0,585944,1400,1045004,7
0000000071,0,0.0,585951,1405,1045011,10
0000000072,0,0.0,585949,1399,1045003,9
0000000073,0,0.0,585949,1404,1045008,8
0000000074,0,0.0,585949,1398,1045002,9
0000000075,0,0.0,585948,1400,1045004,8
0000000076,0,0.0,585950,1402,1045007,9
0000000077,0,0.0,585949,1402,1045006,8
0000000078,0,0.0,585945,1398,1045002,8
0000000079,0,0.0,585948,1401,1045007,8
0000000080,0,0.0,585949,1404,1045013,7
0000000081,0,0.0,585954,1404,1045013,8
0000000082,0,0.0,585952,1399,1045008,10
0000000083,0,0.0,585955,1400,1045010,8
0000000084,0,0.0,585951,1405,1045014,9
0000000085,0,0.0,585953,1401,1045010,9
0000000086,0,0.0,585954,1398,1045007,9
0000000087,0,0.0,585954,1403,1045012,8
0000000088,0,0.0,585953,1404,1045012,10
0000000089,0,0.0,585953,1399,1045007,8
0000000090,0,0.0,585954,1400,1045009,9
0000000091,0,0.0,585953,1401,1045010,9
0000000092,0,0.0,585951,1399,1045007,8
0000000093,0,0.0,585949,682,1045010,7
0000000094,0,0.0,585948,1400,1045008,8
0000000095,0,0.0,585952,1404,1045012,8
0000000096,0,0.0,585953,1402,1045010,8
0000000097,0,0.0,585953,1397,1045005,9
0000000098,0,0.0,585951,1401,1045010,8
0000000099,0,0.0,585952,1399,1045007,8
0000000100,0,0.0,585952,1403,1045011,10
0000000101,0,0.0,585952,1405,1045013,8
0000000102,0,0.0,585952,1403,1045010,9
0000000103,0,0.0,585949,1401,1045008,10
0000000104,0,0.0,585949,1401,1045008,8
0000000105,0,0.0,585952,1399,1045006,8
0000000106,0,0.0,585952,1402,1045009,8
0000000107,0,0.0,585951,1401,1045008,8
0000000108,0,0.0,585952,1403,1045010,8
0000000109,0,0.0,585948,1401,1045008,8
0000000110,0,0.0,585952,1400,1045007,10
0000000111,0,0.0,585948,1403,1045010,9
0000000112,0,0.0,585952,1406,1045013,10
0000000113,0,0.0,585950,1403,1045010,10
0000000114,0,0.0,585950,1401,1045007,9
0000000115,0,0.0,585951,1398,1045005,9
0000000116,0,0.0,585951,1400,1045008,8
0000000117,0,0.0,585953,683,1045012,9
0000000118,0,0.0,585952,1400,1045007,9
0000000119,0,0.0,585952,1400,1045007,9
0000000120,0,0.0,585950,1400,1045008,10
0000000121,0,0.0,585953,1405,1045013,9
0000000122,0,0.0,585950,1399,1045006,9
0000000123,0,0.0,585952,1400,1045007,10
0000000124,0,0.0,585951,1405,1045012,11
0000000125,0,0.0,585950,1404,1045011,8
0000000126,0,0.0,585950,1403,1045010,8
0000000127,0,0.0,585953,1404,1045012,9
0000000128,0,0.0,585952,1400,1045007,9
0000000129,0,0.0,585952,1403,1045010,9
0000000130,0,0.0,585952,1399,1045006,10
0000000131,0,0.0,585950,1405,1045012,8
0000000132,0,0.0,585951,1399,1045006,10
0000000133,0,0.0,585952,1399,1045006,11
0000000134,0,0.0,585951,1398,1045004,10
0000000135,0,0.0,585953,1397,1045005,9
0000000136,0,0.0,585950,1401,1045008,13
0000000137,0,0.0,585948,1398,1045005,8
0000000138,0,0.0,585952,1400,1045007,10
0000000139,0,0.0,585952,1400,1045008,9
0000000140,0,0.0,585951,1399,1045006,9
0000000141,0,0.0,585948,679,1045006,8
0000000142,0,0.0,585953,1401,1045009,7
0000000143,0,0.0,585952,1403,1045010,10
0000000144,0,0.0,585950,1398,1045005,8
0000000145,0,0.0,585952,1401,1045008,10
0000000146,0,0.0,585953,1398,1045006,8
0000000147,0,0.0,585952,1401,1045008,8
0000000148,0,0.0,585951,1401,1045008,10
0000000149,0,0.0,585952,1401,1045008,8
0000000150,0,0.0,585951,1402,1045009,8
0000000151,0,0.0,585951,1401,1045008,9
0000000152,0,0.0,585952,1403,1045010,9
0000000153,0,0.0,585950,1400,1045007,9
0000000154,0,0.0,585951,1399,1045005,9
0000000155,0,0.0,585950,1402,1045008,8
0000000156,0,0.0,585952,1401,1045008,8
0000000157,0,0.0,585951,1401,1045007,9
0000000158,0,0.0,585944,1401,1045007,9
0000000159,0,0.0,585949,1404,1045010,9
0000000160,0,0.0,585950,1398,1045004,10
0000000161,0,0.0,585950,1400,1045007,11
0000000162,0,0.0,585951,1403,1045010,8
0000000163,0,0.0,585952,1399,1045006,8
0000000164,0,0.0,585951,1396,1045003,9
0000000165,0,0.0,585952,682,1045007,8
0000000166,0,0.0,585952,1399,1045006,8
0000000167,0,0.0,585950,1401,1045008,8
0000000168,0,0.0,585951,1400,1045007,7
0000000169,0,0.0,585952,1402,1045009,8
0000000170,0,0.0,585947,1404,1045011,9
0000000171,0,0.0,585953,1400,1045008,9
0000000172,0,0.0,585951,1404,1045011,8
0000000173,0,0.0,585949,1404,1045011,7
0000000174,0,0.0,585948,1405,1045012,8
0000000175,0,0.0,585948,1400,1045007,8
0000000176,0,0.0,585952,1404,1045011,7
0000000177,0,0.0,585950,1400,1045007,8
0000000178,0,0.0,585952,1399,1045006,9
0000000179,0,0.0,585952,1404,1045011,7
0000000180,0,0.0,585952,1401,1045008,10
0000000181,0,0.0,585948,1402,1045009,8
0000000182,0,0.0,585951,1399,1045006,10
0000000183,0,0.0,585952,1402,1045009,8
0000000184,0,0.0,585944,1402,1045008,7
0000000185,0,0.0,585950,1402,1045008,8
0000000186,0,0.0,585951,1406,1045012,7
0000000187,0,0.0,585951,1400,1045008,8
0000000188,0,0.0,585951,1401,1045007,7
0000000189,0,0.0,585951,679,1045006,8
0000000190,0,0.0,585950,1400,1045006,9
0000000191,0,0.0,585951,1398,1045004,8
0000000192,0,0.0,585950,1403,1045009,9
0000000193,0,0.0,585949,1408,1045014,8
0000000194,0,0.0,585949,1407,1045013,8
0000000195,0,0.0,585951,1403,1045009,8
0000000196,0,0.0,585940,1400,1045006,9
0000000197,0,0.0,585951,1400,1045006,8
0000000198,0,0.0,585947,1401,1045007,7
0000000199,0,0.0,585950,1403,1045010,8
0000000200,0,0.0,585949,1401,1045007,7
0000000201,0,0.0,585951,1401,1045007,8
0000000202,0,0.0,585951,1404,1045010,8
0000000203,0,0.0,585947,1400,1045006,10
0000000204,0,0.0,585950,1401,1045007,8
0000000205,0,0.0,585951,1402,1045008,8
0000000206,0,0.0,585951,1406,1045012,8
0000000207,0,0.0,585951,1399,1045005,8
0000000208,0,0.0,585951,1400,1045006,8
0000000209,0,0.0,585950,1399,1045005,9
0000000210,0,0.0,585951,1404,1045010,9
0000000211,0,0.0,585951,1408,1045014,8
0000000212,0,0.0,585951,1402,1045008,7
0000000213,0,0.0,585951,681,1045007,8
0000000214,0,0.0,585950,1402,1045008,8
0000000215,0,0.0,585951,1403,1045009,8
0000000216,0,0.0,585952,1402,1045009,8
0000000217,0,0.0,585951,1402,1045008,9
0000000218,0,0.0,585951,1404,1045010,8
0000000219,0,0.0,585949,1404,1045010,8
0000000220,0,0.0,585952,1399,1045006,7
0000000221,0,0.0,585952,1380,1045011,8
0000000222,0,0.0,585951,17,1045009,8
0000000223,0,0.0,585952,123,1045015,7
0000000224,0,0.0,585956,584,1045015,8
0000000225,0,0.0,8823,9,1045016,2
0000000226,0,0.0,585950,72,1045015,9
0000000227,0,0.0,585956,1402,1045013,7
0000000228,0,0.0,585956,1399,1045010,8
0000000229,0,0.0,585955,1400,1045011,8
0000000230,0,0.0,585956,217,1045010,9
0000000231,0,0.0,585950,72,1045010,8
0000000232,0,0.0,585956,1402,1045013,7
0000000233,0,0.0,585955,1401,1045012,8
0000000234,0,0.0,585955,1403,1045014,8
0000000235,0,0.0,585955,1399,1045010,8
0000000236,0,0.0,585956,396,1045012,8
0000000237,0,0.0,39010,9,1045013,2
0000000238,0,0.0,38978,9,1045013,2
0000000239,0,0.0,585953,109,1045011,7
0000000240,0,0.0,585955,1398,1045008,9
0000000241,0,0.0,585955,108,1045008,8
0000000242,0,0.0,585953,82,1045009,8
0000000243,0,0.0,585953,1400,1045010,8
0000000244,0,0.0,585955,1401,1045011,8
0000000245,0,0.0,585956,1399,1045011,9
0000000246,0,0.0,585956,1399,1045010,7
0000000247,0,0.0,585956,1402,1045013,8
0000000248,0,0.0,585956,1400,1045011,9
0000000249,0,0.0,585956,1404,1045015,10
0000000250,0,0.0,585956,1402,1045013,8
0000000251,0,0.0,585955,1399,1045010,8
0000000252,0,0.0,585956,1408,1045019,8
0000000253,0,0.0,585955,1404,1045015,9
0000000254,0,0.0,585956,1402,1045013,7
0000000255,0,0.0,585954,1402,1045013,8
0000000256,0,0.0,585957,1401,1045013,7
0000000257,0,0.0,585956,1401,1045012,8
0000000258,0,0.0,585955,1402,1045013,8
0000000259,0,0.0,585956,1402,1045013,8
0000000260,0,0.0,585950,1403,1045013,8
0000000261,0,0.0,585956,1405,1045016,8
0000000262,0,0.0,585954,1402,1045013,8
0000000263,0,0.0,585954,1402,1045013,8
0000000264,0,0.0,585955,1404,1045015,8
0000000265,0,0.0,585955,1402,1045013,7
0000000266,0,0.0,585956,681,1045013,8
0000000267,0,0.0,585955,1404,1045015,7
0000000268,0,0.0,585954,1397,1045008,8
0000000269,0,0.0,585955,1400,1045011,9
0000000270,0,0.0,585954,1399,1045010,8
0000000271,0,0.0,585956,1400,1045011,8
0000000272,0,0.0,585954,1400,1045011,8
0000000273,0,0.0,585952,1400,1045011,9
0000000274,0,0.0,585953,1401,1045012,8
0000000275,0,0.0,585956,780,1045011,8
0000000276,0,0.0,15367,122,471080,2
0000000277,0,7.858546168958742E-4,163879,2545,471108,3
0000000278,0,0.0,585959,17,1045014,7
0000000279,0,0.0,585957,128,1045013,7
0000000280,0,0.0,489686,9,1045014,7
0000000281,0,0.0,585952,41,1045012,7
0000000282,0,0.0,38978,9,1045013,2
0000000283,0,0.0,585958,13,1045013,7
0000000284,0,0.0,37904,122,471186,3
0000000285,0,7.852375343541421E-4,348311,2547,471219,4
0000000286,0,0.0,30732,122,471202,2
0000000287,0,5.446623093681918E-4,409766,3672,512198,5
0000000288,0,0.0,48143,123,549096,3
0000000289,0,7.858546168958742E-4,528628,2545,622860,7
0000000290,0,0.0,585956,75,1045018,8
0000000291,0,0.0,585963,1398,1045016,8
0000000292,0,0.0,585963,1400,1045018,8
0000000293,0,0.0,585964,81,1045020,10
0000000294,0,0.0,39011,9,1045021,3
0000000295,0,0.0,585962,17,1045017,8
0000000296,0,0.0,585957,41,1045017,8
0000000297,0,0.0,39028,9,1045019,1
0000000298,0,0.0,585962,13,1045017,8
0000000299,0,0.0,163897,498,753978,4
0000000300,0,0.0,163909,40,753986,2
0000000301,0,0.0,163913,354,786782,3
0000000302,0,0.0,163913,1403,786818,3
0000000303,0,0.0,163913,1403,786793,3
0000000304,0,0.0,163913,1399,786796,3
0000000305,0,0.0,163913,1400,786801,4
0000000306,0,0.0,163913,1399,786804,3
0000000307,0,0.0,163913,354,819573,3
0000000308,0,0.0,163929,17,819579,3
0000000309,0,0.0,585953,131,1045017,7
0000000310,0,0.0,585962,58,1045018,9
0000000311,0,0.0,585963,10,1045019,12
0000000312,0,0.0,488114,9,1045019,9
0000000313,0,0.0,585962,17,1045017,9
0000000314,0,0.0,348409,500,819570,5
0000000315,0,0.0,348420,40,819577,6
0000000316,0,0.0,11314,9,819577,1
0000000317,0,0.0,163960,152,819561,4
0000000318,0,0.0,163976,1400,819612,3
0000000319,0,0.0,163973,1402,819584,3
0000000320,0,0.0,163975,1402,819590,3
0000000321,0,0.0,163976,1402,819596,4
0000000322,0,0.0,163974,1399,819599,3
0000000323,0,0.0,163976,1402,819605,3
0000000324,0,0.0,163966,1398,819607,3
0000000325,0,0.0,163974,1402,819613,4
0000000326,0,0.0,163972,1404,819621,3
0000000327,0,0.0,163976,1400,819625,4
0000000328,0,0.0,163976,1404,819631,4
0000000329,0,0.0,163976,1402,819637,3
0000000330,0,0.0,163976,1403,819741,3
0000000331,0,0.0,163973,1402,819747,3
0000000332,0,0.0,163976,1401,819752,4
0000000333,0,0.0,163976,1399,819755,3
0000000334,0,0.0,163976,1401,819760,3
0000000335,0,0.0,163976,1400,819764,3
0000000336,0,0.0,163974,1402,819770,3
0000000337,0,0.0,163976,1402,819776,3
0000000338,0,0.0,163976,1399,819779,3
0000000339,0,0.0,163976,1405,819788,3
0000000340,0,0.0,163975,1398,819790,3
0000000341,0,0.0,163976,680,819793,3
0000000342,0,0.0,163975,1404,819736,3
0000000343,0,0.0,163976,1400,819740,3
0000000344,0,0.0,163976,1399,819743,3
0000000345,0,0.0,163976,1406,819753,3
0000000346,0,0.0,163976,1398,819755,3
0000000347,0,0.0,163976,1399,819758,4
0000000348,0,0.0,163973,1402,819764,3
0000000349,0,0.0,163976,1403,819771,3
0000000350,0,0.0,163976,1405,819780,3
0000000351,0,0.0,163976,1400,819784,3
0000000352,0,0.0,163975,1401,819789,3
0000000353,0,0.0,163976,1402,819796,3
0000000354,0,0.0,163976,1401,852634,3
0000000355,0,0.0,163977,1398,852636,3
0000000356,0,0.0,163977,1402,852642,4
0000000357,0,0.0,163977,1400,852646,3
0000000358,0,0.0,163974,1400,852650,3
0000000359,0,0.0,163971,1407,852661,3
0000000360,0,0.0,163972,1402,852667,3
0000000361,0,0.0,163977,1402,852673,3
0000000362,0,0.0,163976,1405,852682,3
0000000363,0,0.0,163976,1402,852688,3
0000000364,0,0.0,163977,1404,852696,3
0000000365,0,0.0,163974,681,852702,3
0000000366,0,0.0,163977,1403,852642,3
0000000367,0,0.0,163975,1401,852647,3
0000000368,0,0.0,163976,1401,852652,2
0000000369,0,0.0,163977,873,852656,4
0000000370,0,0.0,409905,500,852381,6
0000000371,0,0.0,409978,40,852448,6
0000000372,0,0.0,8209,9,852448,2
0000000373,0,0.0,409979,716,852450,6
0000000374,0,0.0,11386,9,852483,2
0000000375,0,0.0,528818,499,852691,6
0000000376,0,0.0,528817,40,852687,9
0000000377,0,0.0,11315,9,852687,2
0000000378,0,0.0,163988,17,852663,3
0000000379,0,0.0,163985,102,852664,4
0000000380,0,0.0,163986,163,852697,3
0000000381,0,0.0,409956,17,852693,6
0000000382,0,0.0,348491,122,852702,6
0000000383,0,7.945967421533572E-4,348495,2517,852735,5
0000000384,0,0.0,348501,500,852715,7
0000000385,0,0.0,348501,40,852711,5
0000000386,0,0.0,348498,381,852711,4
0000000387,0,0.0,348498,1400,852752,5
0000000388,0,0.0,348503,1400,852721,5
0000000389,0,0.0,348498,1400,852721,5
0000000390,0,0.0,348503,1401,852731,4
0000000391,0,0.0,348496,1402,852731,6
0000000392,0,0.0,348497,1406,852742,5
0000000393,0,0.0,348499,1398,852744,5
0000000394,0,0.0,348495,1398,852746,5
0000000395,0,0.0,348499,1402,852753,4
0000000396,0,0.0,348495,1398,852755,6
0000000397,0,0.0,348503,1402,852764,4
0000000398,0,0.0,348500,1401,852767,5
0000000399,0,0.0,348553,1399,852856,6
0000000400,0,0.0,348556,1402,852862,6
0000000401,0,0.0,348558,1403,852871,5
0000000402,0,0.0,348552,1404,852874,6
0000000403,0,0.0,348555,1403,852883,6
0000000404,0,0.0,348554,1403,852889,6
0000000405,0,0.0,348551,1398,852890,6
0000000406,0,0.0,348559,1405,852906,5
0000000407,0,0.0,348555,1405,852912,4
0000000408,0,0.0,348553,1399,852911,5
0000000409,0,0.0,348551,1402,852916,5
0000000410,0,0.0,348550,681,852921,5
0000000411,0,0.0,348500,1402,852873,5
0000000412,0,0.0,348500,1353,852877,6
0000000413,0,0.0,348500,17,852746,5
0000000414,0,0.0,585953,41,1045018,8
0000000415,0,0.0,38961,9,1045020,2
0000000416,0,0.0,585961,31,1045021,8
0000000417,0,0.0,614770,123,700820,8
0000000418,0,5.445140212360468E-4,614771,3673,700848,8
0000000419,0,0.0,295147,122,831918,6
0000000420,0,5.446623093681918E-4,295147,3672,864735,6
0000000421,0,0.0,614767,501,963002,8
0000000422,0,0.0,614790,40,963020,8
0000000423,0,0.0,8706,9,963021,2
0000000424,0,0.0,295154,500,963022,5
0000000425,0,0.0,295154,40,963080,4
0000000426,0,0.0,8706,9,963082,2
0000000427,0,0.0,295152,819,963086,5
0000000428,0,0.0,11248,9,995892,2
0000000429,0,0.0,614860,839,1045070,8
0000000430,0,0.0,614856,1402,1045113,8
0000000431,0,0.0,614859,1400,1045075,9
0000000432,0,0.0,614859,1397,1045076,10
0000000433,0,0.0,614859,1397,1045077,9
0000000434,0,0.0,614859,1399,1045080,13
0000000435,0,0.0,614859,1403,1045089,10
0000000436,0,0.0,614855,1402,1045094,8
0000000437,0,0.0,614859,851,1045103,9
0000000438,0,0.0,614861,1399,1045103,8
0000000439,0,0.0,614858,1404,1045103,9
0000000440,0,0.0,614859,560,1045108,9
0000000441,0,0.0,614859,198,1045109,9
0000000442,0,0.0,614859,178,1045108,8
0000000443,0,0.0,614859,17,1045074,9
0000000444,0,0.0,295154,17,1045073,4
0000000445,0,0.0,1012296,123,1045065,11
0000000446,0,7.955449482895784E-4,1012312,2514,1045103,12
0000000447,0,0.0,1012299,498,1045072,15
0000000448,0,0.0,1012303,40,1045072,12
0000000449,0,0.0,8707,9,1045072,3
0000000450,0,0.0,1012303,824,1045076,13
0000000451,0,0.0,11247,9,1045076,2
0000000452,0,0.0,295155,17,1045107,5
0000000453,0,0.0,176190,122,200766,3
0000000454,0,7.288629737609329E-4,176205,2744,229484,3
0000000455,0,0.0,176211,499,303202,4
0000000456,0,0.0,176208,40,323676,3
0000000457,0,0.0,28893,9,323676,2
0000000458,0,0.0,176204,820,323678,3
0000000459,0,0.0,176207,9,356475,3
0000000460,0,0.0,176231,17,356501,4
0000000461,0,0.0,295151,137,1045167,6
0000000462,0,0.0,10470,9,1045168,2
0000000463,0,0.0,295156,17,1045169,5
0000000464,0,0.0,1012391,140,1045170,13
0000000465,0,0.0,10470,9,1045169,2
0000000466,0,0.0,295156,17,1045196,5
0000000467,0,0.0,176229,59,430233,3
0000000468,0,0.0,34383,9,454835,1
0000000469,0,0.0,176234,17,549041,3
