Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,9.59462700887503E-4,8191,4169,28690,1
0000000002,0,0.0,8193,271,28674,1
0000000003,0,0.0,13,1,28674,1
0000000004,0,0.0,8192,16,28673,1
0000000005,0,0.0,8193,40,28673,1
0000000006,0,0.0,8193,9,28673,1
0000000007,0,0.0,8193,1879,28677,1
0000000008,0,7.339449541284404E-4,8192,2725,28679,1
0000000009,0,0.0,8192,613,28681,1
0000000010,0,9.844942160964804E-4,8187,4063,28687,1
0000000011,0,0.0,8192,1285,28687,1
0000000012,0,0.0,8193,21,28688,0
0000000013,0,0.0,8193,9,28688,1
0000000014,0,0.0,434437,13,1045593,6
0000000015,0,0.0,434439,145,1045598,8
0000000016,0,0.0,73768,78,94248,2
0000000017,0,8.481764206955047E-4,73764,4716,94274,2
0000000018,0,0.0,73768,1851,94260,2
0000000019,0,0.0,73766,334,94249,2
0000000020,0,0.0,14570,4,94248,1
0000000021,0,0.0,8192,79,28673,2
0000000022,0,8.481764206955047E-4,8188,4716,28698,1
0000000023,0,0.0,8192,1851,28684,1
0000000024,0,0.0,8190,333,28672,1
0000000025,0,0.0,8192,4,28672,1
0000000026,0,0.0,73768,203,94249,1
0000000027,0,0.0,9,1,94248,2
0000000028,0,0.0,73767,16,94248,1
0000000029,0,0.0,204857,78,225337,3
0000000030,0,8.481764206955047E-4,204855,4716,225363,3
0000000031,0,0.0,204857,1851,504034,3
0000000032,0,0.0,204857,334,504023,3
0000000033,0,0.0,204854,4,504022,3
0000000034,0,0.0,53308,78,73788,1
0000000035,0,8.481764206955047E-4,53304,4716,73814,2
0000000036,0,0.0,53308,1851,73800,1
0000000037,0,0.0,53305,335,73790,2
0000000038,0,0.0,53308,4,73788,1
0000000039,0,0.0,327908,78,348388,5
0000000040,0,8.481764206955047E-4,327904,4716,348414,5
0000000041,0,0.0,327908,1851,348400,5
0000000042,0,0.0,327877,335,348359,5
0000000043,0,0.0,84208,4,348357,2
0000000044,0,0.0,16389,78,36869,1
0000000045,0,8.481764206955047E-4,16387,4716,36895,1
0000000046,0,0.0,16389,1851,36881,1
0000000047,0,0.0,16389,334,36870,1
0000000048,0,0.0,16386,4,36869,1
0000000049,0,0.0,4096,78,24576,1
0000000050,0,9.599232061435085E-4,4082,4167,24602,2
0000000051,0,0.0,4096,1847,24584,1
0000000052,0,0.0,4096,333,24576,1
0000000053,0,0.0,4096,4,24576,1
0000000054,0,0.0,172120,48,614619,3
0000000055,0,0.0,172108,699,614609,3
0000000056,0,0.0,4096,203,69662,1
0000000057,0,0.0,9,1,69661,1
0000000058,0,0.0,4094,16,69661,1
0000000059,0,0.0,172087,1024,614587,3
0000000060,0,0.0,172088,1026,614592,3
0000000061,0,0.0,172081,1024,614580,4
0000000062,0,0.0,172083,1028,614586,3
0000000063,0,0.0,172083,1029,614587,3
0000000064,0,0.0,172083,1025,614583,4
0000000065,0,0.0,172083,1029,614587,3
0000000066,0,0.0,172081,1028,614584,3
0000000067,0,0.0,172081,1027,614583,4
0000000068,0,0.0,172081,1027,614583,3
0000000069,0,0.0,172075,1029,614585,4
0000000070,0,0.0,172080,1028,614615,3
0000000071,0,0.0,172076,1032,614619,4
0000000072,0,0.0,172080,1029,614616,3
0000000073,0,0.0,172081,730,614615,2
0000000074,0,0.0,4096,48,69661,1
0000000075,0,0.0,172081,1029,614586,3
0000000076,0,0.0,172087,1029,614592,3
0000000077,0,0.0,172086,1031,614594,4
0000000078,0,0.0,172088,1027,614605,3
0000000079,0,0.0,172086,1026,614604,3
0000000080,0,0.0,172088,1030,614608,4
0000000081,0,0.0,172087,1025,614603,3
0000000082,0,0.0,172087,1030,614593,3
0000000083,0,0.0,172088,1026,614589,3
0000000084,0,0.0,172086,1027,614590,3
0000000085,0,0.0,172085,1029,614592,3
0000000086,0,0.0,172078,1029,614628,3
0000000087,0,0.0,172081,1031,614630,4
0000000088,0,0.0,172081,1030,614629,3
0000000089,0,0.0,172080,1028,614627,4
0000000090,0,0.0,172079,1025,614648,3
0000000091,0,0.0,172081,1028,614651,3
0000000092,0,0.0,172080,1027,614650,4
0000000093,0,0.0,172081,1026,614649,3
0000000094,0,0.0,172081,1031,614587,3
0000000095,0,0.0,172076,1027,614583,3
0000000096,0,0.0,172079,1028,614584,3
0000000097,0,0.0,172081,1025,614581,3
0000000098,0,0.0,172081,1026,614582,3
0000000099,0,0.0,172081,1026,614582,3
0000000100,0,0.0,172081,1028,614584,3
0000000101,0,0.0,172081,1026,614582,3
0000000102,0,0.0,172081,1026,614582,3
0000000103,0,0.0,172080,1026,614582,3
0000000104,0,0.0,172081,1031,614587,3
0000000105,0,0.0,172081,1026,614582,3
0000000106,0,0.0,172076,1026,614582,3
0000000107,0,0.0,172080,1028,614584,3
0000000108,0,0.0,172078,1029,614585,3
0000000109,0,0.0,172081,1026,614582,3
0000000110,0,0.0,172080,1026,614582,3
0000000111,0,0.0,172077,1026,614582,3
0000000112,0,0.0,172080,1026,614582,4
0000000113,0,0.0,172080,1029,614585,3
0000000114,0,0.0,172075,1026,614582,3
0000000115,0,0.0,172080,1029,614585,5
0000000116,0,0.0,172081,1028,614584,3
0000000117,0,0.0,172081,1024,614580,3
0000000118,0,0.0,172082,1028,614585,2
0000000119,0,0.0,172081,1024,614580,3
0000000120,0,0.0,172081,1029,614585,3
0000000121,0,0.0,172080,1027,614583,3
0000000122,0,0.0,172081,1028,614584,3
0000000123,0,0.0,172080,1027,614583,3
0000000124,0,0.0,172081,1027,614583,4
0000000125,0,0.0,172080,1026,614582,3
0000000126,0,0.0,172080,1030,614586,3
0000000127,0,0.0,172081,1029,614585,3
