Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,0.0,8212,78,28692,1
0000000002,0,8.481764206955047E-4,8208,4716,28718,0
0000000003,0,0.0,8212,1851,28704,1
0000000004,0,0.0,8212,334,28693,1
0000000005,0,0.0,8212,4,28692,1
0000000006,0,0.0,8210,203,28693,0
0000000007,0,0.0,19,1,28692,1
0000000008,0,0.0,8211,16,28692,0
0000000009,0,0.0,8212,1024,28692,1
0000000010,0,0.0,8210,1029,28697,0
0000000011,0,0.0,8211,1027,28695,1
0000000012,0,0.0,8212,1024,28692,0
0000000013,0,0.0,8212,1029,28697,1
0000000014,0,0.0,8212,1027,28695,1
0000000015,0,0.0,8212,1026,28694,0
0000000016,0,0.0,8212,1030,28698,1
0000000017,0,0.0,8212,1025,28693,0
0000000018,0,0.0,8210,1027,28695,1
0000000019,0,0.0,8209,1028,28696,1
0000000020,0,0.0,8212,1025,28693,0
0000000021,0,0.0,8211,1026,28694,1
0000000022,0,0.0,8211,1028,28696,1
0000000023,0,0.0,8212,1028,28696,1
0000000024,0,0.0,8209,1026,28694,0
0000000025,0,0.0,8211,1029,28697,1
0000000026,0,0.0,8212,1027,28695,1
0000000027,0,0.0,8212,1029,28697,0
0000000028,0,0.0,8211,1028,28696,1
0000000029,0,0.0,8210,1026,28694,1
0000000030,0,0.0,8212,1027,28695,0
0000000031,0,0.0,8212,489,28696,1
0000000032,0,0.0,8212,1027,28695,0
0000000033,0,0.0,8208,1027,28695,1
0000000034,0,0.0,8212,1032,28700,1
0000000035,0,0.0,8212,1013,28697,0
0000000036,0,0.0,8202,1026,28694,1
0000000037,0,0.0,8212,1025,28693,0
0000000038,0,0.0,8212,1029,28697,1
0000000039,0,0.0,8208,1012,28695,1
0000000040,0,0.0,8205,1031,28699,0
0000000041,0,0.0,8212,1026,28694,1
0000000042,0,0.0,8207,1028,28696,0
0000000043,0,0.0,8212,1010,28693,1
0000000044,0,0.0,8212,1026,28694,1
0000000045,0,0.0,8206,1031,28699,0
0000000046,0,0.0,8212,1028,28696,1
0000000047,0,0.0,8210,1029,28697,1
0000000048,0,0.0,8211,1028,28696,0
0000000049,0,0.0,8202,1029,28697,1
0000000050,0,0.0,8212,1028,28696,1
0000000051,0,0.0,8211,1026,28694,0
0000000052,0,0.0,8211,1029,28697,1
0000000053,0,0.0,8212,1026,28694,0
0000000054,0,0.0,8211,1027,28695,1
0000000055,0,0.0,8212,1027,28695,1
0000000056,0,0.0,8209,1031,28699,0
0000000057,0,0.0,8211,1031,28699,1
0000000058,0,0.0,8211,1027,28695,1
0000000059,0,0.0,8211,1029,28697,0
0000000060,0,0.0,8210,1026,28694,1
0000000061,0,0.0,8212,1027,28695,1
