Starting Experiment with Threshold 0.001
Stopping till first time coarse-grained measure falls below threshold
Note also recording number of comparisons (ie offset where match is found)
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,0.0,47181,122,1045331,2
0000000002,0,0.0,553387,19,1045331,8
0000000003,0,5.209690023443605E-4,553389,3839,1045349,8
0000000004,0,0.0,553398,80,1045344,7
0000000005,0,0.0,553395,52,1045340,7
0000000006,0,0.0,553388,281,1045332,7
0000000007,0,0.0,553397,21,1045341,8
0000000008,0,0.0,11319,9,1045341,2
0000000009,0,0.0,553397,734,1045352,7
0000000010,0,0.0,434255,123,1044963,7
0000000011,0,0.0,434255,19,1044956,6
0000000012,0,5.209690023443605E-4,434253,3839,1044970,6
0000000013,0,0.0,434254,79,1044962,6
0000000014,0,0.0,434254,52,1044962,7
0000000015,0,8.922312153463769E-4,553393,15691,1045448,8
0000000016,0,8.090614886731392E-4,553422,2472,1045452,8
0000000017,0,0.0,434278,282,1044980,6
0000000018,0,0.0,434278,21,1044991,7
0000000019,0,8.583690987124463E-4,553397,13980,1045491,7
0000000020,0,5.755395683453237E-4,553423,3475,1045501,7
0000000021,0,9.245704599738038E-4,553416,12979,1045484,8
0000000022,0,6.451612903225806E-4,553421,3100,1045484,7
0000000023,0,9.97920997920998E-4,553418,12025,1045480,7
0000000024,0,0.0,553421,1331,1045459,8
0000000025,0,0.0,553405,166,1045442,7
0000000026,0,0.0,553404,1245,1045442,8
