Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,0.0,434239,122,1044985,6
0000000002,0,0.0,434239,19,1044985,6
0000000003,0,5.844535359438924E-4,434238,3422,1045007,6
0000000004,0,0.0,434241,80,1045032,7
0000000005,0,0.0,434241,36,1045032,10
0000000006,0,0.0,434241,265,1044988,10
0000000007,0,0.0,434241,249,1045007,7
0000000008,0,0.0,434241,9,1045017,7
0000000009,0,0.0,434241,21,1045017,5
0000000010,0,0.0,155909,4,1045018,3
0000000011,0,0.0,434242,18,1045018,6
0000000012,0,0.0,434242,364,1045018,5
0000000013,0,0.0,434242,17,1045018,6
0000000014,0,0.0,217186,122,254052,3
0000000015,0,0.0,217186,19,254052,4
0000000016,0,5.844535359438924E-4,217185,3422,254074,3
0000000017,0,0.0,217186,79,254052,3
0000000018,0,0.0,217185,36,254052,4
0000000019,0,0.0,217186,265,254052,3
0000000020,0,0.0,217186,265,254052,4
0000000021,0,0.0,217186,9,254052,3
0000000022,0,0.0,217186,21,254052,4
0000000023,0,0.0,217186,4,254052,3
0000000024,0,0.0,4124,9,254052,2
0000000025,0,0.0,217186,9,254052,3
0000000026,0,0.0,217186,795,254054,4
0000000027,0,7.919223916056226E-4,254058,5051,295075,4
0000000028,0,0.0,19,1,295072,1
0000000029,0,0.0,254073,16,295072,4
0000000030,0,0.0,254073,303,295080,4
0000000031,0,9.072352007257881E-4,991991,4409,1045295,16
0000000032,0,0.0,5,1,1045276,2
0000000033,0,0.0,991995,16,1045276,11
0000000034,0,9.94859890565412E-4,991986,6031,1045305,12
0000000035,0,0.0,225543,122,594551,4
0000000036,0,0.0,225543,19,594551,4
0000000037,0,8.701326952360235E-4,225539,4597,594567,4
0000000038,0,0.0,225543,80,594551,3
0000000039,0,0.0,225542,36,594551,5
0000000040,0,0.0,110647,122,139319,2
0000000041,0,0.0,110649,19,139321,2
0000000042,0,8.701326952360235E-4,110643,4597,139335,2
0000000043,0,0.0,110647,78,139320,3
0000000044,0,0.0,110647,36,139319,2
0000000045,0,0.0,225543,265,594552,4
0000000046,0,0.0,225543,267,594554,4
0000000047,0,0.0,225543,9,594552,4
0000000048,0,0.0,16396,122,204937,2
0000000049,0,0.0,16396,19,204942,1
0000000050,0,8.701326952360235E-4,16389,4597,204958,1
0000000051,0,0.0,16396,80,204942,1
0000000052,0,0.0,16396,36,204942,2
0000000053,0,0.0,20482,122,114731,1
0000000054,0,0.0,20482,19,114731,1
0000000055,0,8.701326952360235E-4,20478,4597,114747,1
0000000056,0,0.0,20482,79,114731,2
0000000057,0,0.0,20482,36,114731,1
0000000058,0,0.0,225543,21,594553,3
0000000059,0,0.0,21369,4,594553,1
0000000060,0,0.0,269,9,594553,2
0000000061,0,0.0,225543,9,594552,3
0000000062,0,0.0,225543,478,594553,3
0000000063,0,0.0,225543,1304,594556,4
0000000064,0,0.0,225541,1306,594558,4
0000000065,0,0.0,225542,1305,594557,4
0000000066,0,0.0,225543,1303,594555,3
0000000067,0,0.0,225542,1307,594559,4
0000000068,0,0.0,225540,1305,594557,4
0000000069,0,0.0,225538,1303,594555,4
0000000070,0,0.0,225542,1301,594553,4
0000000071,0,0.0,225543,1303,594555,4
0000000072,0,0.0,225543,1304,594556,4
0000000073,0,0.0,225543,1308,594560,4
0000000074,0,0.0,225543,1303,594555,4
0000000075,0,0.0,225541,787,594557,4
0000000076,0,0.0,22276,9,594557,2
0000000077,0,0.0,225541,1302,594554,4
0000000078,0,0.0,225542,1305,594557,3
0000000079,0,0.0,225543,375,594558,5
0000000080,0,0.0,132723,9,594558,3
0000000081,0,0.0,225543,237,594557,3
0000000082,0,0.0,225543,774,594559,4
0000000083,0,0.0,225543,9,594557,4
0000000084,0,0.0,225543,214,594557,4
0000000085,0,0.0,225543,823,594558,5
0000000086,0,0.0,110649,265,139321,2
0000000087,0,0.0,110649,266,139322,2
0000000088,0,0.0,110649,9,139321,1
0000000089,0,0.0,110649,21,139321,2
0000000090,0,0.0,110649,4,139321,2
0000000091,0,0.0,4489,2,139321,1
0000000092,0,0.0,16394,266,204944,1
0000000093,0,0.0,16394,266,204944,1
0000000094,0,0.0,16392,9,204943,1
0000000095,0,0.0,16392,21,204943,1
0000000096,0,0.0,16396,4,204943,2
0000000097,0,0.0,13,2,204943,0
0000000098,0,0.0,20491,265,114740,1
0000000099,0,0.0,20491,267,114742,2
0000000100,0,0.0,20491,9,114740,1
0000000101,0,0.0,20491,21,114740,1
0000000102,0,0.0,589,4,114740,0
0000000103,0,0.0,13,2,114740,1
0000000104,0,0.0,225543,9,344375,3
0000000105,0,0.0,225543,205,344375,4
0000000106,0,0.0,225542,1304,344375,3
0000000107,0,0.0,225541,1304,344375,4
0000000108,0,0.0,225542,1306,344377,3
0000000109,0,0.0,225543,1304,344375,4
0000000110,0,0.0,225543,1306,344377,4
0000000111,0,0.0,225543,1306,344377,3
0000000112,0,0.0,225543,853,344376,4
0000000113,0,0.0,168187,9,344378,3
0000000114,0,0.0,225543,203,344377,4
0000000115,0,0.0,225542,1302,344375,4
0000000116,0,0.0,225543,1306,344379,4
0000000117,0,0.0,225542,1307,344380,3
0000000118,0,0.0,225543,1307,344380,4
0000000119,0,0.0,225543,1305,344378,3
0000000120,0,0.0,225543,1306,344379,4
0000000121,0,0.0,225543,1304,344377,4
0000000122,0,0.0,225543,1303,344376,4
0000000123,0,0.0,225533,1305,344378,4
0000000124,0,0.0,225542,1306,344379,4
0000000125,0,0.0,225543,1303,344374,3
0000000126,0,0.0,225543,1305,344376,3
0000000127,0,0.0,225542,786,344374,4
0000000128,0,0.0,225543,9,344376,3
0000000129,0,0.0,225543,1308,344381,3
0000000130,0,0.0,225543,1307,344380,4
0000000131,0,0.0,225541,1302,344375,3
0000000132,0,0.0,225540,1306,344379,3
0000000133,0,0.0,225541,1303,344376,4
0000000134,0,0.0,225543,1306,344379,3
0000000135,0,0.0,225543,1307,344380,4
0000000136,0,0.0,225543,1307,344380,3
0000000137,0,0.0,225543,1303,344376,4
0000000138,0,0.0,225543,1308,344381,4
0000000139,0,0.0,225543,1305,344378,3
0000000140,0,0.0,225543,1303,344376,4
0000000141,0,0.0,225543,788,344375,4
0000000142,0,0.0,225543,9,344375,4
0000000143,0,0.0,225533,1305,344376,4
0000000144,0,0.0,225543,1305,344376,4
0000000145,0,0.0,225543,1303,344374,4
0000000146,0,0.0,225539,1302,344373,4
0000000147,0,0.0,225543,1306,344375,3
0000000148,0,0.0,225543,1312,344381,3
0000000149,0,0.0,225542,1306,344375,4
0000000150,0,0.0,225542,1306,344375,3
0000000151,0,0.0,225543,1304,344373,3
0000000152,0,0.0,225540,1306,344375,4
0000000153,0,0.0,225543,1302,344371,3
0000000154,0,0.0,225541,1306,344375,3
0000000155,0,0.0,225543,788,344377,4
0000000156,0,0.0,168434,9,344377,2
0000000157,0,0.0,225542,1304,344373,4
0000000158,0,0.0,225543,1305,344374,4
0000000159,0,0.0,225541,1301,344370,3
0000000160,0,0.0,225542,1304,344373,4
0000000161,0,0.0,225543,1303,344372,4
0000000162,0,0.0,225543,1303,344372,5
0000000163,0,0.0,225542,1305,344374,4
0000000164,0,0.0,225543,1308,344377,3
0000000165,0,0.0,225542,1301,344370,3
0000000166,0,0.0,225543,1305,344374,4
0000000167,0,0.0,225543,1301,344370,3
0000000168,0,0.0,225543,197,344370,4
0000000169,0,0.0,5,2,1045821,1
0000000170,0,0.0,225543,9,344370,4
0000000171,0,0.0,225544,190,344373,3
0000000172,0,0.0,225543,1301,344372,4
0000000173,0,0.0,225543,115,344370,4
