Starting Experiment with Threshold 0.001
Stopping till first time coarse-grained measure falls below threshold
Note also recording number of comparisons (ie offset where match is found)
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000001,0,0.0,16388,122,155731,1
0000000002,0,5.445140212360468E-4,16385,3673,155769,2
0000000003,0,0.0,16388,500,155745,1
0000000004,0,0.0,16388,40,155741,1
0000000005,0,0.0,472,9,155741,0
0000000006,0,0.0,16386,302,155742,1
0000000007,0,0.0,16388,9,155742,1
0000000008,0,0.0,14226,17,155742,1
0000000009,0,0.0,389769,123,1045205,5
0000000010,0,5.448106782892945E-4,389768,3671,1045233,6
0000000011,0,0.0,389767,501,1045209,6
0000000012,0,0.0,389769,40,1045204,5
0000000013,0,0.0,42323,9,1045204,2
0000000014,0,0.0,16387,526,155741,1
0000000015,0,0.0,16384,1401,155748,1
0000000016,0,0.0,16388,1401,155747,1
0000000017,0,0.0,16387,1401,155745,1
0000000018,0,0.0,16388,1402,155746,1
0000000019,0,0.0,16387,1404,155753,2
0000000020,0,0.0,16388,1399,155747,1
0000000021,0,0.0,16388,1403,155750,1
0000000022,0,0.0,16387,1400,155746,1
0000000023,0,0.0,16388,1112,155749,1
0000000024,0,0.0,16388,1403,213093,1
0000000025,0,0.0,16388,1399,213095,1
0000000026,0,0.0,16388,400,213094,1
0000000027,0,0.0,16387,1401,213097,2
0000000028,0,0.0,16384,1406,213101,1
0000000029,0,0.0,16388,449,213099,1
0000000030,0,0.0,16388,62,213174,1
0000000031,0,0.0,16388,264,213171,1
0000000032,0,0.0,16388,1400,213167,1
0000000033,0,0.0,16388,1087,213171,1
0000000034,0,0.0,16386,162,213181,1
0000000035,0,0.0,16386,1403,213182,2
0000000036,0,0.0,16388,1102,213184,1
0000000037,0,0.0,16388,17,213184,1
0000000038,0,0.0,16384,88,213185,1
0000000039,0,0.0,16388,1347,213173,2
0000000040,0,0.0,16386,82,213175,1
0000000041,0,0.0,16388,1399,213175,1
0000000042,0,0.0,16385,1405,213186,1
0000000043,0,0.0,16385,1404,213179,1
0000000044,0,0.0,16388,1402,213180,1
0000000045,0,0.0,16388,1401,213176,1
0000000046,0,0.0,16387,1401,213180,1
0000000047,0,0.0,16385,1404,213187,1
0000000048,0,0.0,16388,1401,213175,1
0000000049,0,0.0,16388,1402,213176,2
0000000050,0,0.0,16383,1400,213177,1
0000000051,0,0.0,16386,1406,213187,1
0000000052,0,0.0,16388,1401,213180,1
0000000053,0,0.0,16388,1401,213181,2
0000000054,0,0.0,16385,1398,213180,1
0000000055,0,0.0,16388,1401,213177,1
0000000056,0,0.0,16380,75,213177,1
0000000057,0,0.0,16388,717,213178,1
0000000058,0,0.0,16381,76,213178,2
0000000059,0,0.0,16386,1407,213186,1
0000000060,0,0.0,16387,1403,213184,1
0000000061,0,0.0,16388,1403,213179,1
0000000062,0,0.0,16387,1401,213178,2
0000000063,0,0.0,16388,1400,213179,1
0000000064,0,0.0,16387,1400,213180,1
0000000065,0,0.0,16385,1403,213178,2
0000000066,0,0.0,16388,1401,213176,1
0000000067,0,0.0,16388,1406,213180,1
0000000068,0,0.0,16385,1400,213177,1
0000000069,0,0.0,16388,1185,213180,1
0000000070,0,0.0,16380,52,213177,1
0000000071,0,0.0,16388,1400,213177,1
0000000072,0,0.0,16388,1401,213176,1
0000000073,0,0.0,16387,1401,213176,2
0000000074,0,0.0,16388,1050,213175,1
0000000075,0,0.0,241960,122,1045357,5
0000000076,0,7.19165767709457E-4,241959,2781,1045375,4
0000000077,0,0.0,483710,123,1045358,7
0000000078,0,6.754474839581223E-4,483707,2961,1045382,6
0000000079,0,0.0,16380,53,213174,2
0000000080,0,0.0,16387,1403,213180,1
0000000081,0,0.0,16385,1402,213182,2
0000000082,0,0.0,16388,1401,213176,1
0000000083,0,0.0,16387,1400,213171,2
0000000084,0,0.0,16387,1399,213175,1
0000000085,0,0.0,16388,1401,213178,2
0000000086,0,0.0,16386,1407,213184,1
0000000087,0,0.0,16387,1398,213178,2
0000000088,0,0.0,16388,1300,213177,1
0000000089,0,0.0,16380,52,213177,1
0000000090,0,0.0,16388,286,213174,1
0000000091,0,0.0,16380,52,213174,1
0000000092,0,0.0,16384,1400,213177,1
0000000093,0,0.0,16387,1399,213174,0
0000000094,0,0.0,16388,687,213176,2
0000000095,0,0.0,16380,54,213174,1
0000000096,0,0.0,16388,1400,213178,1
0000000097,0,0.0,16388,1399,213175,1
0000000098,0,0.0,16387,1400,213179,1
0000000099,0,0.0,16386,1405,213181,1
0000000100,0,0.0,16387,1403,213184,1
0000000101,0,0.0,16387,1401,213181,2
0000000102,0,0.0,16387,1399,213174,1
0000000103,0,0.0,16385,1397,213175,1
0000000104,0,0.0,16388,1400,213177,2
0000000105,0,0.0,16386,1400,213176,1
0000000106,0,0.0,16388,1401,213175,2
0000000107,0,0.0,16388,1401,213174,1
0000000108,0,0.0,16388,1402,213176,2
0000000109,0,0.0,16388,1399,213177,1
0000000110,0,0.0,16388,1399,213177,2
0000000111,0,0.0,16388,1402,213179,1
0000000112,0,0.0,16388,1399,213175,1
0000000113,0,0.0,16383,1400,213176,1
0000000114,0,0.0,16388,1399,213176,1
0000000115,0,0.0,16387,1401,213173,1
0000000116,0,0.0,16388,1399,213175,1
0000000117,0,0.0,16386,1400,213176,2
0000000118,0,0.0,16388,1398,213174,1
0000000119,0,0.0,16388,681,213177,1
0000000120,0,0.0,16387,1399,213174,1
0000000121,0,0.0,16388,1401,213179,1
0000000122,0,0.0,16388,1402,213177,1
0000000123,0,0.0,16387,1400,213172,1
0000000124,0,0.0,16386,1402,213175,2
0000000125,0,0.0,16387,1405,213180,1
0000000126,0,0.0,16387,1400,213174,1
0000000127,0,0.0,16387,1407,213187,1
0000000128,0,0.0,16388,1403,213179,1
0000000129,0,0.0,16388,1401,213178,1
0000000130,0,0.0,16384,1406,213185,1
0000000131,0,0.0,16387,1405,213179,2
0000000132,0,0.0,16388,1402,213182,1
0000000133,0,0.0,16387,1400,213175,1
0000000134,0,0.0,16388,1398,213173,1
0000000135,0,0.0,16388,1399,213172,1
0000000136,0,0.0,16388,1401,213175,1
0000000137,0,0.0,16388,1406,213184,1
0000000138,0,0.0,16387,1401,213179,2
0000000139,0,0.0,16388,1404,213178,1
0000000140,0,0.0,16387,1399,213176,1
0000000141,0,0.0,16388,1399,213175,1
0000000142,0,0.0,16387,1401,213176,2
0000000143,0,0.0,16388,679,213178,1
0000000144,0,0.0,16388,1401,213185,1
0000000145,0,0.0,16387,1400,213180,1
0000000146,0,0.0,16388,1400,213177,1
0000000147,0,0.0,16388,1401,213180,1
0000000148,0,0.0,16386,1402,213178,1
0000000149,0,0.0,16386,1404,213179,1
0000000150,0,0.0,16388,1404,213188,1
0000000151,0,0.0,16382,1400,213174,1
0000000152,0,0.0,16387,1401,213183,2
0000000153,0,0.0,16385,1399,213179,1
0000000154,0,0.0,16388,1400,213178,1
0000000155,0,0.0,16388,1396,213175,1
0000000156,0,0.0,16388,1402,213182,1
0000000157,0,0.0,16387,1400,213180,1
0000000158,0,0.0,16387,1399,213177,1
0000000159,0,0.0,16388,1404,213182,1
0000000160,0,0.0,16387,1406,213184,1
0000000161,0,0.0,16388,1401,213179,1
0000000162,0,0.0,16388,1400,213176,1
0000000163,0,0.0,16388,1400,213178,1
0000000164,0,0.0,16387,1401,213180,1
0000000165,0,0.0,16385,1404,213182,2
0000000166,0,0.0,16381,1401,213183,3
0000000167,0,0.0,16387,678,213178,1
0000000168,0,0.0,16384,1400,213178,1
0000000169,0,0.0,16387,1411,213188,1
0000000170,0,0.0,16385,1401,213181,1
0000000171,0,0.0,16387,1401,213184,2
0000000172,0,0.0,16386,1398,213174,1
0000000173,0,0.0,16386,1403,213181,1
0000000174,0,0.0,16388,1403,213183,1
0000000175,0,0.0,16387,1406,213186,2
0000000176,0,0.0,16388,1399,213179,1
0000000177,0,0.0,16386,1402,213178,2
0000000178,0,0.0,16387,1401,213179,1
0000000179,0,0.0,16388,1400,213178,2
0000000180,0,0.0,16388,1400,213181,1
0000000181,0,0.0,16388,1404,213180,1
0000000182,0,0.0,16388,1405,213182,2
0000000183,0,0.0,16388,1401,213184,1
0000000184,0,0.0,16387,1398,213179,1
0000000185,0,0.0,16385,1401,213182,2
0000000186,0,0.0,16387,1403,213183,1
0000000187,0,0.0,16384,1403,213177,1
0000000188,0,0.0,16385,1399,213182,2
0000000189,0,0.0,16388,1401,213184,1
0000000190,0,0.0,16388,1405,213184,1
0000000191,0,0.0,16384,679,213181,1
0000000192,0,0.0,16387,1401,213182,2
0000000193,0,0.0,16386,1400,213178,1
0000000194,0,0.0,16388,1399,213178,1
0000000195,0,0.0,16388,1401,213182,1
0000000196,0,0.0,16387,1401,213181,1
0000000197,0,0.0,16388,1402,213182,2
0000000198,0,0.0,16386,1403,213185,1
0000000199,0,0.0,16388,1405,213183,1
0000000200,0,0.0,16387,1403,213184,2
0000000201,0,0.0,16386,1402,213180,1
0000000202,0,0.0,16388,1402,213185,1
0000000203,0,0.0,16388,1401,213184,1
0000000204,0,0.0,16387,1402,213178,1
0000000205,0,0.0,16388,1405,213182,1
0000000206,0,0.0,16388,1398,213176,2
0000000207,0,0.0,16388,1399,213179,1
0000000208,0,0.0,16388,1399,213177,1
0000000209,0,0.0,16386,1402,213184,2
0000000210,0,0.0,16388,1400,213176,1
0000000211,0,0.0,16388,1399,213181,1
0000000212,0,0.0,16388,1401,213180,2
0000000213,0,0.0,16387,1401,213180,1
0000000214,0,0.0,16387,1400,213177,1
0000000215,0,0.0,16388,680,213176,1
0000000216,0,0.0,16386,1402,213189,2
0000000217,0,0.0,16380,1406,213188,1
0000000218,0,0.0,16387,1398,213173,1
0000000219,0,0.0,16387,1403,213191,1
0000000220,0,0.0,16383,1403,213184,1
0000000221,0,0.0,16387,1398,213173,1
0000000222,0,0.0,16387,1399,213178,1
0000000223,0,0.0,16387,1400,213183,1
0000000224,0,0.0,16388,1403,213179,2
0000000225,0,0.0,16387,1402,213181,1
0000000226,0,0.0,16388,1406,213183,1
0000000227,0,0.0,16383,1399,213176,1
0000000228,0,0.0,16388,1400,213181,1
0000000229,0,0.0,16386,1404,213185,1
0000000230,0,0.0,16380,1403,213185,2
0000000231,0,0.0,16387,1402,213183,1
0000000232,0,0.0,16388,1403,213179,1
0000000233,0,0.0,16386,1398,213181,1
0000000234,0,0.0,16388,1403,213178,1
0000000235,0,0.0,16388,1401,213176,1
0000000236,0,0.0,16388,1401,213179,1
0000000237,0,0.0,16388,1399,213180,1
0000000238,0,0.0,16387,1403,213182,1
0000000239,0,0.0,16387,681,213179,1
0000000240,0,0.0,16388,1399,213177,1
0000000241,0,0.0,16388,1400,213182,2
0000000242,0,0.0,16387,1404,213184,1
0000000243,0,0.0,16388,1399,213181,1
0000000244,0,0.0,16388,1405,213186,1
0000000245,0,0.0,16384,1400,213175,1
0000000246,0,0.0,16388,1403,213184,1
0000000247,0,0.0,16388,1400,213182,1
0000000248,0,0.0,16387,1403,213181,1
0000000249,0,0.0,16387,1403,213182,1
0000000250,0,0.0,16386,1402,213182,2
0000000251,0,0.0,16386,1402,213178,1
0000000252,0,0.0,16387,1402,213180,1
0000000253,0,0.0,16388,1398,213181,1
0000000254,0,0.0,16387,1402,213185,1
0000000255,0,0.0,16386,1404,213186,1
0000000256,0,0.0,16388,1401,213178,2
0000000257,0,0.0,16385,1400,213174,1
0000000258,0,0.0,16388,1399,213181,1
0000000259,0,0.0,16388,1405,213184,1
0000000260,0,0.0,16388,1401,213181,1
0000000261,0,0.0,16388,1401,213179,1
0000000262,0,0.0,16387,1402,213177,1
0000000263,0,0.0,16387,679,213175,2
0000000264,0,0.0,16388,1403,213180,1
0000000265,0,0.0,16388,1403,213183,1
0000000266,0,0.0,16387,1396,213173,1
0000000267,0,0.0,16387,1405,213190,1
0000000268,0,0.0,16388,1402,213179,1
0000000269,0,0.0,16388,1400,213179,1
0000000270,0,0.0,16387,1403,213180,1
0000000271,0,0.0,16388,1401,213183,1
0000000272,0,0.0,16388,1402,213180,1
0000000273,0,0.0,16388,1401,213178,2
0000000274,0,0.0,16388,1400,213178,1
0000000275,0,0.0,16388,1404,213182,1
0000000276,0,0.0,16388,1400,213180,1
0000000277,0,0.0,16388,1407,213188,1
0000000278,0,0.0,16386,1399,213178,1
0000000279,0,0.0,16388,1400,213178,1
0000000280,0,0.0,16386,1401,213180,1
0000000281,0,0.0,16385,1398,213177,1
0000000282,0,0.0,16388,1400,213182,1
0000000283,0,0.0,16388,1400,213179,1
0000000284,0,0.0,16384,1404,213183,1
0000000285,0,0.0,16388,1402,213181,1
0000000286,0,0.0,16387,1404,213187,2
0000000287,0,0.0,16388,680,213182,1
0000000288,0,0.0,16388,1402,213180,1
0000000289,0,0.0,16388,1396,213179,1
0000000290,0,0.0,16387,1402,213183,1
0000000291,0,0.0,16387,1398,213174,1
0000000292,0,0.0,16388,1405,213180,1
0000000293,0,0.0,16387,1401,213183,1
0000000294,0,0.0,16387,1404,213185,1
0000000295,0,0.0,16387,1403,213182,1
0000000296,0,0.0,16388,1397,213173,1
0000000297,0,0.0,16386,1403,213180,1
0000000298,0,0.0,16386,1399,213179,1
0000000299,0,0.0,16388,1403,213180,1
0000000300,0,0.0,16387,1400,213178,1
0000000301,0,0.0,16388,1401,213181,1
0000000302,0,0.0,16386,1403,213182,1
0000000303,0,0.0,16388,1397,213174,1
0000000304,0,0.0,16387,1404,213181,1
0000000305,0,0.0,16388,1405,213183,1
0000000306,0,0.0,16387,1402,213177,1
0000000307,0,0.0,16388,1402,213178,2
0000000308,0,0.0,16385,1406,213182,1
0000000309,0,0.0,16388,1401,213180,1
0000000310,0,0.0,16388,1404,213184,0
0000000311,0,0.0,16388,680,213180,1
0000000312,0,0.0,16388,1398,213173,1
0000000313,0,0.0,16384,1399,213175,1
0000000314,0,0.0,16387,1400,213181,1
0000000315,0,0.0,16388,1400,213177,1
0000000316,0,0.0,16388,1401,213183,1
0000000317,0,0.0,16388,1400,213178,1
0000000318,0,0.0,16388,1404,213185,1
0000000319,0,0.0,16388,1402,213181,2
0000000320,0,0.0,16388,1398,213176,1
0000000321,0,0.0,16388,1402,213182,1
0000000322,0,0.0,16387,1400,213177,1
0000000323,0,0.0,16388,1402,213184,1
0000000324,0,0.0,16388,1405,213184,1
0000000325,0,0.0,16388,1400,213181,1
0000000326,0,0.0,16387,1399,213176,1
0000000327,0,0.0,16387,1401,213180,1
0000000328,0,0.0,16387,1400,213179,1
0000000329,0,0.0,16388,1398,213176,1
0000000330,0,0.0,16385,1403,213181,1
0000000331,0,0.0,16388,1403,213180,1
0000000332,0,0.0,16386,1401,213177,1
0000000333,0,0.0,16386,1401,213181,1
0000000334,0,0.0,16386,1405,213182,1
0000000335,0,0.0,16387,682,213181,1
0000000336,0,0.0,16388,1407,213186,1
0000000337,0,0.0,16382,1399,213180,1
0000000338,0,0.0,16386,1399,213174,1
0000000339,0,0.0,16387,1401,213177,1
0000000340,0,0.0,16388,1404,213182,1
0000000341,0,0.0,16388,1400,213177,1
0000000342,0,0.0,16388,1404,213181,1
0000000343,0,0.0,16388,1399,213178,1
0000000344,0,0.0,16385,1406,213182,1
0000000345,0,0.0,16388,1404,213181,1
0000000346,0,0.0,16388,1403,213182,1
0000000347,0,0.0,16387,1403,213179,1
0000000348,0,0.0,16388,1400,213182,1
0000000349,0,0.0,16388,1399,213180,1
0000000350,0,0.0,16388,1399,213176,1
0000000351,0,0.0,16384,1400,213177,1
0000000352,0,0.0,16387,1402,213178,2
0000000353,0,0.0,16385,1404,213184,1
0000000354,0,0.0,16388,1404,213181,2
0000000355,0,0.0,16388,1401,213176,1
0000000356,0,0.0,16388,1402,213177,1
0000000357,0,0.0,16388,1401,213177,1
0000000358,0,0.0,16387,1401,213180,1
0000000359,0,0.0,16388,683,213179,1
0000000360,0,0.0,16387,1403,213179,1
0000000361,0,0.0,16386,1400,213178,1
0000000362,0,0.0,16387,1404,213185,1
0000000363,0,0.0,16388,1401,213181,1
0000000364,0,0.0,16388,1403,213180,1
0000000365,0,0.0,16388,1401,213176,1
0000000366,0,0.0,16386,1400,213179,2
0000000367,0,0.0,16388,1403,213181,1
0000000368,0,0.0,16386,1398,213176,1
0000000369,0,0.0,16386,1401,213178,1
0000000370,0,0.0,16388,1403,213183,1
0000000371,0,0.0,16385,1401,213177,1
0000000372,0,0.0,16388,1403,213185,1
0000000373,0,0.0,16387,1404,213181,1
0000000374,0,0.0,16387,1406,213183,1
0000000375,0,0.0,16388,1403,213184,1
0000000376,0,0.0,16388,1402,213182,1
0000000377,0,0.0,16388,1404,213182,1
0000000378,0,0.0,16388,1399,213178,1
0000000379,0,0.0,16388,1399,213178,1
0000000380,0,0.0,16383,1404,213180,2
0000000381,0,0.0,16387,1399,213181,1
0000000382,0,0.0,16388,1401,213180,1
0000000383,0,0.0,16386,682,213184,1
0000000384,0,0.0,16385,1401,213177,1
0000000385,0,0.0,16388,1404,213183,1
0000000386,0,0.0,16388,1402,213181,1
0000000387,0,0.0,16388,1401,213178,1
0000000388,0,0.0,16388,1399,213177,1
0000000389,0,0.0,16388,1402,213181,1
0000000390,0,0.0,16386,1401,213182,1
0000000391,0,0.0,16388,1405,213178,1
0000000392,0,0.0,16388,1401,213181,1
0000000393,0,0.0,16388,1399,213182,1
0000000394,0,0.0,16388,1404,213185,1
0000000395,0,0.0,16388,1402,213177,1
0000000396,0,0.0,16388,1401,213180,1
0000000397,0,0.0,16387,1407,213186,1
0000000398,0,0.0,16388,1404,213181,1
0000000399,0,0.0,16388,1402,213180,1
0000000400,0,0.0,16384,1400,213179,1
0000000401,0,0.0,16388,1400,213176,1
0000000402,0,0.0,16384,1404,213184,1
0000000403,0,0.0,16386,1402,213185,1
0000000404,0,0.0,16388,1400,213180,1
0000000405,0,0.0,16385,1403,213182,1
0000000406,0,0.0,16388,1400,213179,1
0000000407,0,0.0,16386,679,213181,1
0000000408,0,0.0,16388,1399,213181,1
0000000409,0,0.0,16387,1405,213183,1
0000000410,0,0.0,16385,1403,213186,1
0000000411,0,0.0,16388,1400,213176,1
0000000412,0,0.0,16388,1401,213178,1
0000000413,0,0.0,16388,1401,213175,1
0000000414,0,0.0,16380,1397,213175,1
0000000415,0,0.0,16387,1399,213177,2
0000000416,0,0.0,16387,1398,213178,1
0000000417,0,0.0,16387,1404,213187,1
0000000418,0,0.0,16388,1405,213181,1
0000000419,0,0.0,16388,1401,213180,1
0000000420,0,0.0,16388,1400,213178,1
0000000421,0,0.0,16388,1399,213179,1
0000000422,0,0.0,16387,1402,213181,1
0000000423,0,0.0,16387,1402,213177,1
0000000424,0,0.0,16387,1400,213178,1
0000000425,0,0.0,16387,1400,213178,1
0000000426,0,0.0,16388,1403,213181,2
0000000427,0,0.0,16386,1401,213180,1
0000000428,0,0.0,16385,1399,213177,1
0000000429,0,0.0,16388,1397,213179,1
0000000430,0,0.0,16387,1403,213180,1
0000000431,0,0.0,16386,679,213178,1
0000000432,0,0.0,16387,1399,213176,1
0000000433,0,0.0,16387,1399,213174,1
0000000434,0,0.0,16388,1398,213180,1
0000000435,0,0.0,16388,1402,213181,1
0000000436,0,0.0,16388,1402,213180,1
0000000437,0,0.0,16387,1404,213184,1
0000000438,0,0.0,16388,1402,213180,1
0000000439,0,0.0,16387,1403,213181,1
0000000440,0,0.0,16388,1401,213179,1
0000000441,0,0.0,16388,1402,213181,1
0000000442,0,0.0,16387,1403,213182,1
0000000443,0,0.0,16388,1400,213178,1
0000000444,0,0.0,16388,1403,213181,1
0000000445,0,0.0,16388,1399,213185,1
0000000446,0,0.0,16388,1400,213177,1
0000000447,0,0.0,16383,1401,213181,1
0000000448,0,0.0,16387,1399,213176,2
0000000449,0,0.0,16388,1403,213183,1
0000000450,0,0.0,16388,1399,213175,1
0000000451,0,0.0,16388,1399,213180,1
0000000452,0,0.0,16386,1400,213178,1
0000000453,0,0.0,16385,1397,213181,1
0000000454,0,0.0,16384,1400,213180,1
0000000455,0,0.0,16386,679,213176,1
0000000456,0,0.0,16388,1402,213179,1
0000000457,0,0.0,16388,1401,213178,1
0000000458,0,0.0,16388,1403,213185,1
0000000459,0,0.0,16387,1399,213179,2
0000000460,0,0.0,16388,1401,213181,1
0000000461,0,0.0,16386,1405,213192,1
0000000462,0,0.0,16388,1402,213181,1
0000000463,0,0.0,16388,1401,213180,1
0000000464,0,0.0,16387,1399,213177,1
0000000465,0,0.0,16388,1400,213182,1
0000000466,0,0.0,16387,1401,213177,1
0000000467,0,0.0,16388,1406,213188,1
0000000468,0,0.0,16388,1399,213179,2
0000000469,0,0.0,16388,1403,213182,1
0000000470,0,0.0,16388,1403,213184,1
0000000471,0,0.0,16388,1400,213176,1
0000000472,0,0.0,16386,1400,213182,1
0000000473,0,0.0,16384,1403,213177,1
0000000474,0,0.0,16386,1404,213184,1
0000000475,0,0.0,16385,1402,213179,1
0000000476,0,0.0,16387,1403,213179,2
0000000477,0,0.0,16388,1404,213186,1
0000000478,0,0.0,16388,1403,213180,2
0000000479,0,0.0,16388,680,213177,1
0000000480,0,0.0,16388,1400,213177,1
0000000481,0,0.0,16387,1409,213189,2
0000000482,0,0.0,16385,1402,213178,1
0000000483,0,0.0,16388,1405,213184,1
0000000484,0,0.0,16387,1401,213179,1
0000000485,0,0.0,16388,1404,213181,1
0000000486,0,0.0,16388,1404,213183,1
0000000487,0,0.0,16388,1402,213181,2
0000000488,0,0.0,16388,1400,213176,1
0000000489,0,0.0,16380,1401,213180,1
0000000490,0,0.0,16388,1397,213180,1
0000000491,0,0.0,16387,1402,213179,1
0000000492,0,0.0,16387,1404,213180,1
0000000493,0,0.0,16388,1406,213182,1
0000000494,0,0.0,16386,1404,213183,1
0000000495,0,0.0,16388,1405,213182,2
0000000496,0,0.0,16388,1399,213176,1
0000000497,0,0.0,16387,1399,213178,1
0000000498,0,0.0,16387,1402,213183,1
0000000499,0,0.0,16386,1401,213185,1
0000000500,0,0.0,16386,1400,213177,1
0000000501,0,0.0,16388,1399,213172,1
0000000502,0,0.0,16388,1407,213189,1
0000000503,0,0.0,16386,682,213185,1
0000000504,0,0.0,16387,1400,213177,1
0000000505,0,0.0,16387,1400,213178,1
0000000506,0,0.0,16387,1399,213182,1
0000000507,0,0.0,16388,1404,213184,1
0000000508,0,0.0,16388,1408,213189,1
0000000509,0,0.0,16388,1401,213177,1
0000000510,0,0.0,16387,1406,213186,1
0000000511,0,0.0,16387,1405,213180,1
0000000512,0,0.0,16384,1403,213179,1
0000000513,0,0.0,16387,1401,213179,1
0000000514,0,0.0,16386,1401,213188,1
0000000515,0,0.0,16387,1402,213181,1
0000000516,0,0.0,16388,1404,213183,1
0000000517,0,0.0,16388,1399,213175,1
0000000518,0,0.0,16387,1400,213177,1
0000000519,0,0.0,16388,1403,213180,1
0000000520,0,0.0,16388,1401,213178,1
0000000521,0,0.0,16385,1403,213184,1
0000000522,0,0.0,16386,1400,213180,2
0000000523,0,0.0,16388,1400,213177,1
0000000524,0,0.0,16388,1401,213177,1
0000000525,0,0.0,16386,1402,213181,1
0000000526,0,0.0,16388,1402,213178,1
0000000527,0,0.0,16383,681,213178,1
0000000528,0,0.0,16387,1400,213179,1
0000000529,0,0.0,16388,1399,213176,1
0000000530,0,0.0,16388,1401,213177,1
