Starting Experiment with Threshold 0.1
Stopping on first fine-grained match below threshold
Buffers sized less than 10 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fine-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000009023,,,,,17,18497677,0
0000009022,0,,,,40,18497677,236
0000009021,0,,,,47,18497677,254
0000009020,,,,,17,18497677,1
0000009019,,,,,17,18497677,0
0000009018,,,,,17,18497677,0
0000009017,,,,,17,18497677,0
0000009016,,,,,17,18497677,0
0000009015,,,,,17,18497677,0
0000009014,,,,,17,18497677,1
0000009013,,,,,17,18497677,1
0000009012,,,,,17,18497677,0
0000009011,,,,,17,18497677,0
0000009010,0,,,,988,18497677,252
0000009009,0,,,,403,18497677,229
0000009008,0,,,,1422,18497677,215
0000009007,0,,,,1412,18497677,212
0000009006,0,,,,1419,18497677,215
0000009005,0,,,,1417,18497677,209
0000009004,0,,,,1416,18497677,203
0000009003,0,,,,1416,18497677,199
0000009002,0,,,,1421,18497677,209
0000009001,0,,,,1414,18497677,207
0000009000,0,,,,1417,18497677,215
0000008999,0,,,,1419,18497677,209
0000008998,0,,,,1417,18497677,202
0000008997,0,,,,1413,18497677,213
0000008996,0,,,,1417,18497677,203
0000008995,0,,,,1414,18497677,200
0000008994,0,,,,1411,18497677,199
0000008993,0,,,,1411,18497677,198
0000008992,0,,,,1417,18497677,208
0000008991,0,,,,1411,18497677,201
0000008990,0,,,,1419,18497677,203
0000008989,0,,,,1414,18497677,198
0000008988,0,,,,1422,18497677,200
0000008987,0,,,,1418,18497677,199
0000008986,0,,,,1418,18497677,244
0000008985,0,,,,403,18497677,214
0000008984,0,,,,1419,18497677,203
0000008983,0,,,,1416,18497677,203
0000008982,0,,,,1428,18497677,198
0000008981,0,,,,1416,18497677,206
0000008980,0,,,,1415,18497677,211
0000008979,0,,,,1417,18497677,214
0000008978,0,,,,1418,18497677,209
0000008977,0,,,,1413,18497677,206
0000008976,0,,,,1418,18497677,219
0000008975,0,,,,1418,18497677,214
0000008974,0,,,,1417,18497677,206
0000008973,0,,,,1413,18497677,235
0000008972,0,,,,1412,18497677,216
0000008971,0,,,,1412,18497677,208
0000008970,0,,,,1414,18497677,239
0000008969,0,,,,1413,18497677,211
0000008968,0,,,,1418,18497677,214
0000008967,0,,,,1413,18497677,213
0000008966,0,,,,1416,18497677,215
0000008965,0,,,,1414,18497677,236
0000008964,0,,,,1417,18497677,242
0000008963,0,,,,1415,18497677,209
